Id	Entry	Left	Right	LeftStoich	RightStoich	Name
4140240	RE0908C	4137590 4135549	4139691 4137584 4135548	-1.0 -1.0	1.0 1.0 1.0	RE0908
4140243	5THFtm	4134553	4134553	-1.0	1.0	5THFtm
4140248	5THFtl	4134553	4134553	-1.0	1.0	5THFtl
4140250	PI45P3K_cho	4134977 4138952	4138911 4137584 4134734	-1.0 -1.0	1.0 1.0 1.0	Phosphatidylinositol 4,5-bisphosphate 3-kinase
4140252	TDCHOLAtx	4139855	4139855	-1.0	1.0	TDCHOLAtx
4140255	RE3537C	4137584 4136119 4138675	4136125 4138674	-1.0 -1.0 -1.0	1.0 1.0	RE3537
4140257	MALSO4tm	4138378 4139691	4138378 4139691	-1.0 -1.0	1.0 1.0	MALSO4tm
4140260	PS141abcpp	4137590 4134977 4139366	4139366 4139255 4134734 4137584	-1.0 -1.0 -1.0	1.0 1.0 1.0 1.0	Phosphatidylserine transport via ABC system (n-C14:1, periplasm)
4140263	STPT2	4139915 4139380	4139654 4139922	-1.0 -1.0	1.0 1.0	Threonine phosphotransferase
4140266	ACHEe	4134661 4137590	4137584 4136297 4134596	-1.0 -1.0	1.0 1.0 1.0	ACHEe
4140284	STPT1	4139380 4137812	4139227 4139654	-1.0 -1.0	1.0 1.0	Phosphoserine:homoserine phosphotransferase
4140287	HGENTISth	4137775	4137775	-1.0	1.0	Homogentisate transport
4140291	TDCHOLAte	4139855	4139855	-1.0	1.0	TDCHOLAte
4140293	SERt2r	4139654 4137584	4139654 4137584	-1.0 -1.0	1.0 1.0	L serine reversible transport via proton symport
4140296	FECOSTAT_SC	4139274 4137074 4139738 4139856 4138803 4137752 4137767	4136379 4137075	-0.02 -0.01 -0.03 -0.015 -0.27 -0.655 -0.01	1.0 0.01	Acyl CoAfecosterol acyltransferase  yeast specific
4140299	PSSA1_hs_16_0_18_1	4136297 4139387	4139037 4139654	-1.0 -1.0	1.0 1.0	PSSA1 hs 16 0 18 1
4140303	XTSNt2	4137584 4140212	4137584 4140212	-1.0 -1.0	1.0 1.0	Xanthosine transport in via proton symport
