Id	Entry	Left	Right	LeftStoich	RightStoich
1619840	EHGLAT2m	1323457 1321530	1320706 1320003	1.0 1.0	1.0 1.0
1619842	RAI1	1324041	1324042	1.0	1.0
1619845	G6Pt6_2pp	1323814 1321863	1323814 1321863	2.0 1.0	2.0 1.0
1619847	HYPOE	1324001 1322152	1324002 1323814	1.0 1.0	1.0 1.0
1619849	AKGMALtm	1320542 1323051	1320542 1323051	1.0 1.0	1.0 1.0
1619851	DIAT	1324170 1320361	1322144 1320970 1320229	1.0 1.0	1.0 1.0 1.0
1619853	APRGSTRNte	1320651	1320651	1.0	1.0
1619855	2AMACHYD	1322152 1319637	1323402 1324007	1.0 1.0	1.0 1.0
1619857	RAI4	1323518	1319467	1.0	1.0
1619859	RAI2	1324041	1324046	1.0	1.0
1619861	RAI3	1324054	1319470	1.0	1.0
1619863	ALPHNH	1322144 1322152 1320559	1320968 1323402	3.0 1.0 1.0	2.0 2.0
1619866	BUTt2rpp	1320743 1322144	1322144 1320743	1.0 1.0	1.0 1.0
1619868	ST3GAL62g	1320961 1321887	1322144 1320427 1320958	1.0 1.0	1.0 1.0 1.0
1619869	FUCtly	1321773	1321773	1.0	1.0
1619871	ESTRONEtr	1321597	1321597	1.0	1.0
1619873	3PEPTabcpp	1322152 1320216 1320710	1320478 1323814 1322144 1320216	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1619875	PLCD	1323972 1322152	1322144 1323163 1319442	1.0 1.0	1.0 1.0 1.0
1619883	IGPS	1322144 1319646	1320968 1322152 1319912	1.0 1.0	1.0 1.0 1.0
1619885	FEENTERtex	1322144 1321583	1322144 1321583	1.0 1.0	1.0 1.0
1619887	FUC14GALACGLCGALGLUSIDEtg	1321781	1321781	1.0	1.0
1619888	MECOAS1m	1322138 1320970 1323125	1323814 1321958 1323124	1.0 1.0 1.0	1.0 1.0 1.0
1619890	TAS	1320660 1321256	1321254 1324233	1.0 3.0	3.0 1.0
1619892	FUC14GALACGLCGALGLUSIDEte	1321781	1321781	1.0	1.0
1619893	3OXOADPt(ex)	1319969	1319969	1.0	1.0
1619895	34dhpactex	1319767	1319767	1.0	1.0
1619897	3OAS140	1322144 1323053 1321244	1319957 1320157 1320968	1.0 1.0 1.0	1.0 1.0 1.0
1619910	GLXO2p	1323455 1322029 1322152	1322153 1322144 1323524	1.0 1.0 1.0	1.0 1.0 1.0
1619912	DINSt2pp	1321386 1322144	1321386 1322144	1.0 1.0	1.0 1.0
1619914	PLIPA3	1323614 1322152	1322186 1322144 1324431 1322184 1320507 1324433 1323478	0.02 1.0	0.07 1.0 0.02 0.36 0.02 0.05 0.5
1619916	PLIPA2	1322152 1323650	1320510 1324433 1322144 1322184 1323478 1322186 1324431	1.0 0.02	0.02 0.05 1.0 0.36 0.5 0.07 0.02
1619918	3OAS121	1322144 1320795 1323053	1320157 1320968 1319933	1.0 1.0 1.0	1.0 1.0 1.0
1619920	3OAS120	1322144 1321222 1323053	1319947 1320157 1320968	1.0 1.0 1.0	1.0 1.0 1.0
1619922	PLIPA1	1323712 1322152	1322144 1322186 1320513 1324431 1324433 1322184 1323478	0.02 1.0	1.0 0.07 0.02 0.02 0.05 0.36 0.5
1619924	RAHY	1322144 1324054 1323455 1323387	1322152 1323386 1322272	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1619926	PINOS_SC	1322443 1320819	1322144 1320958 1323977	1.0 0.01	1.0 1.0 0.01
1619928	ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	1320373	1320373	1.0	1.0
1619929	ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	1320373	1320373	1.0	1.0
1619930	CAT	1322153	1322152 1323455	2.0	2.0 1.0
1619935	ADHAPR_SC	1319499 1322144 1323387	1319496 1323386	0.01 1.0 1.0	0.01 1.0
1619937	GAMpts	1323671 1321928	1321930 1324007	1.0 1.0	1.0 1.0
1619939	DLYSPYRAT	1324007 1322931	1320547 1320118	1.0 1.0	1.0 1.0
1619941	GLCAT2g	1321052 1324510	1324499 1321055 1322144	1.0 1.0	1.0 1.0 1.0
1619942	ARACHCPT2	1320970 1320674	1320672 1321034	1.0 1.0	1.0 1.0
1619943	UM4PCP	1324537 1322152	1320547 1324532	1.0 1.0	1.0 1.0
1619946	GALU	1324558 1322144 1321838	1324507 1323857	1.0 1.0 1.0	1.0 1.0
1619948	GALT	1324558 1321881 1322144	1323857 1324508	1.0 1.0 1.0	1.0 1.0
1619950	DSERDHr	1324133 1323386	1322144 1323387 1319640	1.0 1.0	1.0 1.0 1.0
1619952	CRNabcpp	1320710 1322152 1321034	1323814 1320478 1322144 1321034	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1619954	FE3abc	1320710 1321696 1322152	1322144 1323814 1321696 1320478	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1619956	FEOXAMexs	1321716 1321696	1321714	1.0 1.0	1.0
1619958	FUCtpp	1322144 1321773	1321773 1322144	1.0 1.0	1.0 1.0
1619960	HSD3B7	1323383 1324587	1322144 1323384 1324593	1.0 1.0	1.0 1.0 1.0
1619965	PTRCORNt7	1323520 1323999	1323520 1323999	1.0 1.0	1.0 1.0
1619968	TDP	1324315 1322152	1323814 1324314 1322144	1.0 1.0	1.0 1.0 1.0
1619974	FORtppi	1321751	1321751	1.0	1.0
1619976	SUCCt2b	1322144 1324194	1324194 1322144	1.0 1.0	1.0 1.0
1619978	3OAS100	1322144 1323465 1323053	1320968 1319948 1320157	1.0 1.0 1.0	1.0 1.0 1.0
1619980	HYPTROX	1322144 1322409 1323455	1324240	2.0 2.0 1.0	2.0
1619982	SUCCt2m	1323814 1324194	1324194 1323814	1.0 1.0	1.0 1.0
1619984	GALC	1322152 1321919	1321029 1321877	1.0 1.0	1.0 1.0
1619990	CCP	1321749 1322153 1322144	1321726 1322152	2.0 1.0 2.0	2.0 2.0
1619992	OCAALD	1323468	1324007 1323457	1.0	1.0 1.0
1619999	THZPSN	1324445 1321194 1320710 1321529	1322152 1320968 1323857 1320034 1320006 1320579 1320548 1322144	1.0 1.0 1.0 1.0	1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1620001	SUCCt2r	1322144 1324194	1324194 1322144	1.0 1.0	1.0 1.0
1620003	LPLIPAL2E180	1319616 1322152	1323472 1322144 1321859	1.0 1.0	1.0 1.0 1.0
1620005	LPLIPAL2E181	1322152 1319618	1322144 1321859 1323478	1.0 1.0	1.0 1.0 1.0
1620007	GALK	1320710 1321877	1321881 1322144 1320478	1.0 1.0	1.0 1.0 1.0
1620009	PSSA_SA	1324134 1320816	1323947 1322144 1320958	1.0 0.02	0.02 1.0 1.0
1620011	THMDtex	1324326	1324326	1.0	1.0
1620013	ARACHCPT1	1320672 1321034	1320674 1320970	1.0 1.0	1.0 1.0
1620014	CLPNH180pp	1322152 1320930	1323704 1322144 1323552	1.0 1.0	1.0 1.0 1.0
1620017	MN2t3pp	1323257 1322144	1323257 1322144	1.0 1.0	1.0 1.0
1620019	AG13T14g	1324487 1322696	1322699 1322144 1324499	1.0 1.0	1.0 1.0 1.0
1620028	TOLBUTAMIDEte	1324375	1324375	1.0	1.0
1620029	PGSA140	1320842 1322040	1322144 1323736 1320958	1.0 1.0	1.0 1.0 1.0
1620031	PGSA141	1322040 1320839	1322144 1323739 1320958	1.0 1.0	1.0 1.0 1.0
1620033	RETFAt1	1320155	1320155	1.0	1.0
1620035	RETFAt2	1319423	1319423	1.0	1.0
1620037	TARTD	1324235	1323457 1322152	1.0	1.0 1.0
1620043	OCCOAtm	1323470	1323470	1.0	1.0
1620045	ELAIDCPT2	1320970 1321565	1323495 1321034	1.0 1.0	1.0 1.0
1620046	FOLt	1322144 1321750	1322144 1321750	1.0 1.0	1.0 1.0
1620048	DOLK_L	1321452 1321186	1322144 1320800 1321466	0.1 1.0	1.0 1.0 0.1
1620050	ACNAMlt	1320422 1322144	1320422 1322144	1.0 1.0	1.0 1.0
1620052	CDS	1322144 1323568 1321186	1320822 1323857	1.0 1.0 1.0	1.0 1.0
1620061	ORNt3m	1323520 1322144	1323520 1322144	1.0 1.0	1.0 1.0
1620063	COALDDH	1323383 1322152 1320981	1321719 1323384 1322144	1.0 1.0 1.0	1.0 1.0 2.0
1620065	BUTSO3tex	1320751	1320751	1.0	1.0
1620067	LPLIPAL1E181pp	1319517 1322152	1323478 1321859 1322144	1.0 1.0	1.0 1.0 1.0
1620069	FUMt3	1322144 1321820	1321820 1322144	1.0 1.0	1.0 1.0
1620071	DOLK_U	1321186 1321455	1321469 1320800 1322144	1.0 0.1	0.1 1.0 1.0
1620073	GMPtn	1322076	1322076	1.0	1.0
1620075	AG13T15g	1322705 1324487	1322708 1322144 1324499	1.0 1.0	1.0 1.0 1.0
1620076	PDIMAS	1322144 1324231 1323805	1323632 1322152	2.0 2.0 1.0	1.0 2.0
1620078	FA100ACPHi	1322152 1321222	1322144 1320157 1321220	1.0 1.0	1.0 1.0 1.0
1620079	PDIMAT	1323632	1323632	1.0	1.0
1620081	ELAIDCPT1	1321034 1323495	1320970 1321565	1.0 1.0	1.0 1.0
1620082	HCO3E	1320968 1322152	1322180 1322144	1.0 1.0	1.0 1.0
1620091	MTAN	1322152 1320102	1320107 1320462	1.0 1.0	1.0 1.0
1620093	MTAP	1320102 1323814	1320462 1320097	1.0 1.0	1.0 1.0
1620095	MEOHt2	1323104	1323104	1.0	1.0
1618936	5THFtm	1320115	1320115	1.0	1.0
1618939	GLNt4	1323379 1322006	1322006 1323379	1.0 1.0	1.0 1.0
1618941	5THFtl	1320115	1320115	1.0	1.0
1618943	TDCHOLAtx	1324249	1324249	1.0	1.0
1618945	CDGGIPT2	1322443 1319824	1320958 1322144 1319856	1.0 1.0	1.0 1.0 1.0
1618947	MALSO4tm	1323051 1324158	1324158 1323051	1.0 1.0	1.0 1.0
1618949	ACHEe	1320402 1322152	1320887 1322144 1320354	1.0 1.0	1.0 1.0 1.0
