Id	Entry	Name
9084	C03267	beta-D-Fructose 2-phosphate;beta-D-Fructofuranose 2-phosphate
9401	C00694	beta-D-Galactosyl-(1->4)-beta-N-acetyl-D-glucosaminyl-R;beta-D-Galactosyl-1,4-N-acetyl-D-glucosaminyl-R;beta-D-Galactosyl-(1->4)-N-acetyl-D-glucosaminyl-R
16040	C08282	Chaulmoogric acid
21410	C18011	7-Hydroxy-6-methylhepta-3,5-dienal
21741	C06528	Cinchonine;(9S)-Cinchonan-9-ol
21749	C10762	Cinegalline
21762	C09845	Cinerin I
21775	C09846	Cinerin II
21784	C10903	Cinmethylin
21790	C00903	Cinnamaldehyde
21830	C08935	Cimicifugoside
21849	C09000	Cimifugin
21896	C10217	Cinchonain 1a
21919	C11379	Cinchonidine;(8alpha,9R)-Cinchonan-9-ol
22014	C05640	Cinnavalininate;Cinnabarinic acid
22026	C08052	Cinoxacin
22036	C05349	Ciprofloxacin
22044	C10032	Cirsilineol
22117	C10438	Cinnamic acid;Benzeneacrylic acid
22153	C09638	Cinnamodial
22203	C00540	Cinnamoyl-CoA;S-(Cinnamoyl) coenzyme A
22228	C10852	Cinnamoylcocaine
22260	C02394	Cinnamyl alcohol;3-Phenyl-2-propen-1-ol;Styrylcarbinol
22688	C04547	1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene
22693	C00904	Citramalyl-CoA
22699	C00158	Citrate;Citric acid;2-Hydroxy-1,2,3-propanetricarboxylic acid;2-Hydroxytricarballylic acid
22872	C06911	Cisplatin;cis-Diamminedichloroplatinum(II);[PtCl2(NH3)2];CDDP
22987	C07572	Citalopram
23045	C00815	Citramalate;Citramalic acid;alpha-Hydroxypyrotartaric acid;2-Methylmalic acid
23070	C16716	4-Hydroxy-2-quinolone;4-Hydroxy-2(1H)-quinolone;2,4-Dihydroxyquinoline
26014	C10548	Cleistanthin A
26030	C06913	Clemastine
11	C07461	Chlorothiazide
166	C07625	Chloroquine
229	C05307	Chlorophyll b
235	C02139	Chlorophyllide;Chlorophyllide a
253	C07877	Chloroprocaine
330	C07953	Chlorprothixene
367	C07952	Chlorpromazine hydrochloride;Chloropromazine monohydrochloride
379	C00547	L-Noradrenaline;Noradrenaline;Norepinephrine;Arterenol;4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol
387	C06147	null
392	C07721	(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene
400	C11383	(+)-(S)-Carvone;Carvol;(+)-Carvone;Carvone
405	C04347	(+)-2,3-Dienoyl fatty acyl thioesters
498	C09938	(+)-8-Hydroxycalamenene
520	C07928	Chlorphenesin
530	C09324	(+)-Adlumine
548	C07930	Chlorphenesin carbamate
555	C06905	Chlorpheniramine;Chlorphenamine
565	C07780	Chlorpheniramine maleate
574	C07559	Chlorphentermine
718	C06906	Chlorpromazine
736	C10966	Chlorpromazine N-oxide
741	C02530	Cholesterol ester
747	C05419	null
753	C05418	Cholesterol-5beta,6beta-epoxide;5beta,6beta-Epoxycholestan-3beta-ol;5,6beta-Epoxy-5beta-cholestan-3beta-ol
761	C06571	Chlortetracycline;7-Chlorotetracycline;Aureomycin
863	C07931	Chlorzoxazone
887	C10979	Chlozolinate;Dichlozolinate
896	C00599	Cholest-4-en-3-one;Cholestenone;4-Cholesten-3-one
903	C01164	7-Dehydrocholesterol;Provitamin D3;Cholesta-5,7-dien-3beta-ol
910	C00187	Cholesterol;Cholest-5-en-3beta-ol
918	C01794	Choloyl-CoA;3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanoyl-CoA;3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-one-CoA
923	C02258	null
928	C00401	Chondroitin;Chondroitin-D-glucuronate
949	C11251	Cholesteryl palmitate
957	C03855	Cholesteryl-beta-D-glucoside
962	C00114	Choline;Bilineurine
968	C02014	null
976	C00588	Choline phosphate;Phosphorylcholine;Phosphocholine;O-Phosphocholine
987	C00919	Choline sulfate
1008	C09842	Chrysanthemic acid
1015	C09843	Chrysanthenone;(-)-Chrysanthenone
1056	C10312	Danthron;Chrysazin;1,8-Dihydroxyanthraquinone
1066	C10028	Chrysin;5,7-Dihydroxyflavone
1075	C10029	5,7-Dimethoxyflavone;Chrysin 5,7-dimethyl ether
1083	C00634	Chondroitin 4-sulfate;Chondroitin sulfate A;Chondroitin 4'-sulfate
1090	C00635	Chondroitin 6-sulfate;Chondroitin sulfate C;Chondroitin 6'-sulfate
1096	C00607	Chondroitin sulfate
1102	C00251	Chorismate;Chorismic acid;(3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate
1107	C06268	Chromium;Cr
1115	C09361	Chromolaenide
1125	C10031	Chrysosplenol C;Quercetagetin 3,7,3'-trimethyl ether
1132	C11308	Chymostatin
1141	C08473	Cibarian;beta-D-Glucopyranose, 1,6-bis(3-nitropropanoate)
1150	C09206	Cichoriin
1156	C10581	Cichorine
1164	C08402	Cicutoxin
1173	C10313	Chryso-obtusin glucoside
1190	C10314	Chrysophanic acid 9-anthrone;Chrysophanol anthrone;Chrysarobin
1276	C06909	Cidofovir;Cidofovir anhydrous
1295	C01675	Cilastatin
2299	C05648	5-Hydroxy-N-formylkynurenine;5-Hydroxy-N-formyl-L-kynurenine
