Id	Entry	Name
21328	D09724	Afatinib (USAN/INN)
21711	D07443	Amfenac (INN)
21921	D07153	Cinchona bark;Cinchona
22028	D00872	Cinoxacin (JP16/USP/INN);CINX;Cinobac (TN)
22825	D00759	Cisatracurium besylate (USAN);Cisatracurium besilate (INN);Nimbex (TN)
22864	D05143	Nepafenac (JAN/USAN/INN);Nevanac (TN)
22992	D07704	Citalopram (USP/INN);Citadur (TN)
23021	D00822	Citalopram hydrobromide (USAN);Celexa (TN)
26032	D03535	Clemastine (USAN)
26046	D00666	Clemastine fumarate (JP16/USP);Tavist (TN)
13	D00519	Chlorothiazide (JAN/USP/INN);Diuril (TN)
168	D02366	Chloroquine (USP/INN)
256	D07678	Chloroprocaine (INN)
268	D00732	Chloroprocaine hydrochloride (USP);Nesacaine (TN)
290	D00271	Chlorpropamide (JP16/USP/INN);Diabinese (TN)
331	D00790	Chlorprothixene (JAN/USAN/INN);Taractan (TN)
369	D00789	Chlorpromazine hydrochloride (JP16/USP);Sonazine (TN)
484	D00269	Chlorotrianisene (INN);TACE (TN)
550	D00770	Chlorphenesin carbamate (JP16/USAN);Maolate (TN)
567	D00665	Chlorpheniramine maleate (JP16/USP);Chlor-trimeton (TN);Teldrin (TN)
720	D00270	Chlorpromazine (USP/INN);Thorazine (TN)
837	D00272	Chlortalidone (JAN/INN);Chlorthalidone (USP);Hygroton (TN);Thalitone (TN)
865	D00771	Chlorzoxazone (JAN/USP/INN);Paraflex (TN)
982	D00810	Choline salicylate (JAN/USAN/INN);Arthropan (TN)
1060	D07107	Dantron (INN);Danthron;Pilules Vinchy N.F. (TN)
1298	D07698	Cilastatin (INN)
1305	D01069	Cilazapril hydrate (JP16);Cilazapril (USAN);Inhibace (TN)
1400	D00295	Cimetidine (JP16/USP/INN);Tagamet (TN)
26260	D00276	Clarithromycin (JP16/USP/INN);CAM;Biaxin (TN)
27027	D00279	Clofibrate (JP16/USP/INN);Atromid-S (TN)
27566	D00278	Clofazimine (JAN/USP/INN);Lamprene (TN)
27808	D00716	Clidinium bromide (USP/INN);Quarzan (TN)
27886	D00277	Clindamycin (USAN/INN);CLDM;Cleocin (TN)
27889	D02132	Clindamycin hydrochloride (JP16/USP);Cleocin hydrochloride (TN);Dalacin (TN)
27903	D01073	Clindamycin phosphate (JP16/USP);Cleocin (TN);Dalacin-S (TN);Evoclin (TN)
27989	D00769	Clopidogrel sulfate (JP16);Clopidogrel bisulfate (USAN);Clopidogrel sulfate tablets (JP16);Isocover (TN);Plavix (TN)
28045	D07726	Clomifene (INN);Clomiphene;Clomifene (TN)
28060	D00962	Clomifene citrate (JP16);Clomiphene citrate (USP);Clomid (TN);Serophene (TN)
