Id	Entry	Name
25994	G01079	null
2980	G00002	N,N'-Chitobiosyldiphosphodolichol
6700	G00851	null
6931	G02259	null
6984	G00623	Lacto-N-fucopentaitol II;Lacto-N-fucopentaose II;LNF-II
27466	G07284	null
27584	G00556	Mannopentaose
8177	G00557	Lacto-N-fucopentaose III;LNF-III
8235	G06577	null
8254	G00535	Lacto-N-fucopentaitol I;Lacto-N-fucopentaose I;LNF-I
40184	G00166	Fucosyl-GM1
40197	G00476	IV2Fuc-Gg4-Cer
40212	G00131	GM1alpha;III6NeuAc-Gg4Cer
40227	G01186	null
40252	G00261	null
40316	G02165	null
40340	G00306	null
41216	G00405	null
36276	G11121	Galactosylceramide;Galactocerebroside;GalCer
49401	G00242	sialyl Lewis x antigen
49436	G02970	null
55629	G00855	null
55642	G01282	null
55689	G00430	null
55699	G00840	null
55709	G00418	null
55945	G00283	Rutin;Rutinoside;Hesperidin;Mabioside;Nicotiflorin;Rutinose
55991	G03287	null
56001	G07050	null
56011	G01480	null
56033	G02355	null
56085	G01369	null
56158	G00641	null
56170	G02948	null
56459	G01903	nLc6-Cer
56480	G00079	null
57777	G02589	null
67202	G01593	null
67213	G07829	null
67319	G00257	sialyl Lewis a antigen
67361	G00287	Mannotriose
66207	G00169	9-O-Acetylated GD3;9-O-Acetyl-GD3;9-O-Ac-GD3;CD60b
66427	G03571	null
66548	G00167	N-Acetylgalactosaminyl GM1b;GalNAc-GM1b
66600	G01380	null
66662	G02498	null
66676	G00768	null
66689	G02009	null
66706	G00442	Galactan
66733	G03070	null
66787	G00830	null
66824	G01693	null
67104	G01381	null
122282	G00088	VI3NeuAc-nLc6Cer
122421	G07595	null
122444	G01594	Fcosylated lacdiNAc
135809	G10584	null
123473	G00004	null
181845	G01184	LA1
185169	G00003	null
269298	G00289	Cellobiose;Glucoscilliroside
274102	G11598	Glucomannan
252619	G00267	solanine;solasonine;solatriose
274581	G10483	beta-1,4-Poly-N-acetyl-D-glucosamine;Chitin
275885	G00050	Paragloboside;Lactoneotetraosylceramide;Lacto-N-neotetraosylceramide;Neolactotetraosylceramide;LA1;nLcCer
303179	G00036	Lc3Cer
291533	G00278	Stachyose
346949	G10612	UDP-D-glucuronate;UDP-D-glucuronic acid;UDP-glucuronate;UDP-glucuronic acid
322978	G00037	Lc4Cer
322979	G01469	null
355444	G10560	null
360211	G00016	null
360219	G00179	null
360228	G00015	null
360235	G00178	null
376221	G09080	Planteose
393889	G10530	null
413066	G10593	Alginate;Alginic acid
