Id	Entry	Left	Right	LeftStoich	RightStoich	Name
1633969	R03718	918 861530	28158 861606	1.0 1.0	1.0 1.0	Choloyl-CoA:glycine N-choloyltransferase
1633977	R03719	918 318811	937498 28158	1.0 1.0	1.0 1.0	3alpha,7alpha,12alpha-trihydroxy-5beta-cholanoyl-CoA:propanoyl-CoA C-acyltransferase;            choloyl-CoA:propanoyl-CoA C-acyltransferase
1633983	R03710	448714 897771	420116 467444	1.0 1.0	1.0 1.0	UDPglucose:trans-2-hydroxycinnamate O-beta-D-glucosyltransferase
1633990	R03712	1095174 1102497 1185159 867391	503927 1184639 1102494	1.0 1.0 1.0 1.0	1.0 1.0 1.0	albendazole,NADPH:oxygen oxidoreductase (sulfoxide-forming)
1633996	R03711	503927 58523	1342804	1.0 1.0	1.0	Actinomycin lactonohydrolase
1633998	R03714	844218 1086826	1102725 393694	1.0 1.0	1.0 1.0	11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al:(acceptor) delta4-oxidoreductase
1634000	R03713	844218 1184639	1102725 1185159 867391	1.0 1.0	1.0 1.0 1.0	11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al:NADP+ delta4-oxidoreductase
1634005	R03716	1184639 1318871	1318550 867391 1185159	1.0 1.0	1.0 1.0 1.0	chlordecone-alcohol:NADP+ 2-oxidoreductase
1634008	R03707	830241 1184609	1184647 867391 829772	1.0 1.0	1.0 1.0 1.0	(S,S)-Butane-2,3-diol:NAD+ oxidoreductase
1634013	R03706	819291	1198803	1.0	1.0	Poly(beta-D-1,4-mannuronide) lyase
1634017	R03709	1184609 229821	897771 867391 1184647	1.0 1.0	1.0 1.0 1.0	3-(2-Hydroxyphenyl)propanoate:NAD+ oxidoreductase
1634022	R03708	427112 503927	1034109	1.0 1.0	1.0	1,4-Lactone hydroxyacylhydrolase
1634026	R03701	13533 53549	424054 832588	1.0 1.0	1.0 1.0	S-Adenosyl-L-methionine:thiopurine S-methyltransferase
1634031	R03700	369583 912307	58314 369278	1.0 1.0	1.0 1.0	3'-Phosphoadenylylsulfate:galactosylsphingosine sulfotransferase
1634036	R03703	503927 393703	507411 503966	1.0 1.0	1.0 1.0	Raucaffricine beta-D-glucohydrolase
1634043	R03702	418152 503927	810136	1.0 1.0	1.0	Triacetolactone lactonohydrolase
1634047	R03704	621160 949921 954178	787738 621156 950163	1.0 1.0 1.0	1.0 1.0 1.0	5,10-Methylenetetrahydrofolate:tRNA-UpsiC (uracil-5-)-methyltransferase
1634053	R02409	753435 1008921	1008911 424367	1.0 1.0	1.0 1.0	Coenzyme A:oxidized-glutathione oxidoreductase
1634059	R02408	1008921 503927	1184965 370761 801047	1.0 1.0	1.0 1.0 1.0	L-Cystine L-Cysteine-lyase (deaminating)
1634069	R03739	726951 503927	726946 1302031	1.0 1.0	1.0 1.0	Stipitatonate carboxy-lyase (decyclizing)
1634074	R02401	901617 1184609 503927	861183 867391 1184647	1.0 1.0 1.0	1.0 1.0 1.0	glutarate-semialdehyde:NAD+ oxidoreductase
1634079	R03732	1184609 816359 503927	370761 1184647 1009328 867391	1.0 1.0 1.0	1.0 1.0 1.0 1.0	(2S)-2-{[1-(R)-carboxyethyl]amino}pentanoate dehydrogenase (NAD+, L-aminopentanoate-forming)
1634083	R03731	999957 53549	424054 795643	1.0 1.0	1.0 1.0	S-Adenosyl-L-methionine:isoorientin 3'-O-methyltransferase
1634087	R03734	1143690 393694	867391 1086826 812483 883125	1.0 1.0	1.0 1.0 1.0 1.0	L-Thyroxine iodohydrolase (reducing)
1634091	R02402	58310 28158 861183	861212 1199435 1086446	1.0 1.0 1.0	1.0 1.0 1.0	Glutarate:CoA ligase (ADP-forming)
1634098	R03733	801285 1184609	1184647 867391 919100	1.0 1.0	1.0 1.0 1.0	L-Threonate:NAD+ 3-oxidoreductase
1634102	R02405	926447 28158 850326	1199435 926358 849822	1.0 1.0 1.0	1.0 1.0 1.0	Itaconate:CoA ligase (GDP-forming)
1634108	R03736	398940 1095174	867421 398771	1.0 1.0	1.0 1.0	Rifamycin-B:oxygen oxidoreductase
1634112	R02404	926447 28158 58310	1199435 1086446 926358	1.0 1.0 1.0	1.0 1.0 1.0	Itaconate:CoA ligase (ADP-forming)
1634118	R03735	28158 816454	503927 1087868 1014894	1.0 1.0	1.0 1.0 1.0	(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate oxaloacetate-lyase (CoA-acylating)
1634124	R02407	753073 926447	926358 753040	1.0 1.0	1.0 1.0	succinyl-CoA:itaconate CoA-transferase
1634131	R03738	937369 503927	815740 703333	1.0 1.0	1.0 1.0	3-alpha(S)-Strictosidine tryptamine-lyase
1634137	R02406	28158 879883 926447	1199435 926358 879947	1.0 1.0 1.0	1.0 1.0 1.0	Itaconate:CoA ligase (IDP-forming)
1634141	R03737	907802 1095174 819186	503927 702884 1302031 753040	1.0 1.0 1.0	1.0 1.0 1.0 1.0	(6S)-6-Hydroxyhyoscyamine,2-oxoglutarate oxidoreductase (epoxide-forming)
1634149	R02410	503927 393490	506640 1045261	1.0 1.0	1.0 1.0	Raffinose fructohydrolase
1634156	R03740	441987	1191106	1.0	1.0	
1634158	R03728	1185159 1083405 1095174 867391	1184639 871748 847002 503927	2.0 1.0 1.0 2.0	2.0 1.0 1.0 1.0	Octadecanal alkane-lyase
