Id	Entry	Left	Right	LeftStoich	RightStoich	Type	LB	UB	Name	pathway	References	Reversible
1808411	R_ASPt2r@MODELID_222668	1808162 1808250	1808160 1808246	1.0 1.0	1.0 1.0	TRANSLOCATION	-999999.0	999999.0	L-aspartate reversible transport via proton symport			
1808410	R_SACCD2@MODELID_222668	1807297 1807237 1807781	1808259 1808161 1808246 1807581	1.0 1.0 1.0	1.0 1.0 1.0 1.0	REACTION	-999999.0	999999.0	saccharopine dehydrogenase (NAD, L-lysine forming)	Glycine, Serine, Lysine and Threonine Metabolism	1745355 1633437 1677407 1669893	
1808409	R_PPM@MODELID_222668	1807556	1807973	1.0	1.0	REACTION	-999999.0	999999.0	phosphopentomutase	Pentose Phosphate Pathway	1715209 1687071 1635728 1722915 1631859	
1808408	R_SACCD1@MODELID_222668	1807610 1807550 1807967 1808246	1807297 1807237 1807898	1.0 1.0 1.0 1.0	1.0 1.0 1.0	REACTION	-999999.0	999999.0	saccharopine dehydrogenase (NADP, L-glutamate forming)	Glycine, Serine, Lysine and Threonine Metabolism	1680111 1733683 1638083 1619270 1633446	
1808415	R_4H2OGLTtm@MODELID_222668	1807364	1807352	1.0	1.0	TRANSLOCATION	-999999.0	999999.0	_4-hydroxy-2-oxoglutarate mitochondrial transport via diffusion			
1808414	R_DHFRi@MODELID_222668	1807848 1807967 1808246	1807873 1807898	1.0 1.0 1.0	1.0 1.0	REACTION	0.0	999999.0	dihydrofolate reductase (irreversible)	Folate Metabolism	1688269 1619280 1621697 1619027 1665780	
1808413	R_CHLPCTD@MODELID_222668	1808186 1808336 1808246	1807506 1807817	1.0 1.0 1.0	1.0 1.0	REACTION	0.0	999999.0	choline phosphate cytididyltransferase	Phospholipid Biosynthesis	1745260 1655743 1672707 1625941	
1808412	R_CYSTtp@MODELID_222668	1807955	1808065	1.0	1.0	TRANSLOCATION	-999999.0	999999.0	cystathione peroxisomal transport			
1808403	R_CSm@MODELID_222668	1807201 1808243 1807469	1808218 1808331 1807307	1.0 1.0 1.0	1.0 1.0 1.0	REACTION	0.0	999999.0	citrate synthase	Citric Acid Cycle	1682922 1719102 1737165 1620593 1621219 1659522 1620598	
1808402	R_PSERSm_SC@MODELID_222668	1807971 1807466	1808218 1807572 1807246	1.0 0.01	1.0 0.01 1.0	REACTION	-999999.0	999999.0	phosphatidylserine synthase, yeast-specific, mitochondrial	Phospholipid Biosynthesis	1625226 1627788	
1808401	R_SPMDAT1@MODELID_222668	1807376 1807475	1807300 1808246 1808080	1.0 1.0	1.0 1.0 1.0	REACTION	0.0	999999.0	Spermidine acetyltransferase	Tyrosine, Tryptophan and Phenylalanine Metabolism	1722873 1685424 1623862	
1808400	R_CSp@MODELID_222668	1808247 1807186 1807456	1807312 1808214 1808338	1.0 1.0 1.0	1.0 1.0 1.0	REACTION	0.0	999999.0	citrate synthase	Citric Acid Cycle	1682922 1719102 1737165 1620593 1621219 1659522 1620598	
1808407	R_FA161tp@MODELID_222668	1807185	1807514	1.0	1.0	TRANSLOCATION	0.0	999999.0	fatty acid peroxisomal transport			
1808406	R_GLXtp@MODELID_222668	1807497	1807476	1.0	1.0	TRANSLOCATION	-999999.0	999999.0	glyoxylate transport, peroxisomal			
1808405	R_CYTDt2@MODELID_222668	1807803 1808250	1807800 1808246	1.0 1.0	1.0 1.0	TRANSLOCATION	0.0	999999.0	cytidine transport in via proton symport			
1808404	R_GLPT@MODELID_222668	1807789 1807272	1807573 1807300	1.0 1.0	1.0 1.0	REACTION	0.0	999999.0	glycylpeptide N-tetradecanoyltransferase	Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...)	1629852 1701360 1649891 1748656	
1808395	R_PUNP2@MODELID_222668	1807295 1807421	1807776 1807442	1.0 1.0	1.0 1.0	REACTION	-999999.0	999999.0	purine-nucleoside phosphorylase (Deoxyadenosine)	Nucleotide Salvage Metabolism	1651913 1724605 1677760 1629969	
1808394	R_DGDPtn@MODELID_222668	1807807	1807813	1.0	1.0	TRANSLOCATION	-999999.0	999999.0	dGDP nuclear transport			
1808393	R_EX_rib_D_LPAREN_e_RPAREN_@MODELID_222668	1808163	1808165	1.0	1.0	DRAIN	0.0	999999.0	D-Ribose exchange			
1808392	R_PEPAT@MODELID_222668	1807475 1807438	1808178 1807300 1808246	1.0 1.0	1.0 1.0 1.0	REACTION	0.0	999999.0	Peptide alpha-N-acetyltransferase	Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...)	1645512 1704127 1630198	
1808399	R_QULNS@MODELID_222668	1807896 1808318	1808154 1807295 1807237 1808246	1.0 1.0	1.0 1.0 2.0 1.0	REACTION	0.0	999999.0	quinolinate synthase	Folate Metabolism	1633800 1669995 1680341 1627604 1714069	
1808398	R_PUNP1@MODELID_222668	1807769 1807295	1807556 1807442	1.0 1.0	1.0 1.0	REACTION	-999999.0	999999.0	purine-nucleoside phosphorylase (Adenosine)	Nucleotide Salvage Metabolism	1644990 1629088 1629971 1675893 1740711	
1808397	R_CYSt2r@MODELID_222668	1808250 1808133	1808135 1808246	1.0 1.0	1.0 1.0	TRANSLOCATION	-999999.0	999999.0	L-cysteine reversible transport via proton symport		1688655 1664887	
1808396	R_PUNP3@MODELID_222668	1807295 1807317	1807338 1807556	1.0 1.0	1.0 1.0	REACTION	-999999.0	999999.0	purine-nucleoside phosphorylase (Guanosine)	Nucleotide Salvage Metabolism	1681915 1629967 1629024 1733254 1641124	
1808387	R_PRAMPC@MODELID_222668	1807237 1807354	1807637	1.0 1.0	1.0	REACTION	0.0	999999.0	phosphoribosyl-AMP cyclohydrolase	Histidine Metabolism	1633377 1656530 1682213 1742839	
1808386	R_OMMBLHX6m@MODELID_222668	1807821 1807983	1807734	1.0 0.5	1.0	REACTION	0.0	999999.0	_2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase, mitochodnrial	Quinone Biosynthesis	1629572	
1808385	R_GLUCYS@MODELID_222668	1807610 1808135 1807214	1807557 1807295 1807429 1808246	1.0 1.0 1.0	1.0 1.0 1.0 1.0	REACTION	0.0	999999.0	gamma-glutamylcysteine synthetase	Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...)	1688873 1620589 1748132 1666390	
1808384	R_THMDt2@MODELID_222668	1807539 1808250	1808246 1807520	1.0 1.0	1.0 1.0	TRANSLOCATION	0.0	999999.0	thymidine transport in via proton symport			
1808391	R_PDE4@MODELID_222668	1807266 1807237	1808075 1808246	1.0 1.0	1.0 1.0	REACTION	0.0	999999.0	_3',5'-cyclic-nucleotide phosphodiesterase	Purine and Pirimidine Biosynthesis	1735499 1628061 1683745 1623104 1651781 1623109	
1808390	R_PDE5@MODELID_222668	1807237 1808090	1807239 1808246	1.0 1.0	1.0 1.0	REACTION	0.0	999999.0	_3',5'-cyclic-nucleotide phosphodiesterase	Purine and Pirimidine Biosynthesis	1692219 1628050	
1808389	R_HACD10p@MODELID_222668	1807777 1807488	1807684 1808142 1808214	1.0 1.0	1.0 1.0 1.0	REACTION	-999999.0	999999.0	_3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosyl-CoA), peroxisomal	Fatty Acid Degradation	1629448	
1808388	R_PTRCt2@MODELID_222668	1808348 1808250	1808346 1808246	1.0 1.0	1.0 1.0	TRANSLOCATION	0.0	999999.0	putrescine transport in via proton symport			
1808443	R_GCC2bim@MODELID_222668	1807417 1807868	1807960 1807409 1808022	1.0 1.0	1.0 1.0 1.0	REACTION	0.0	999999.0	glycine-cleavage system (lipoamide) irreversible, mitochondrial	Glycine, Serine, Lysine and Threonine Metabolism	1621707 1626596	
1808442	R_PPA@MODELID_222668	1807237 1807817	1807295 1808246	1.0 1.0	2.0 1.0	REACTION	0.0	999999.0	inorganic diphosphatase	Oxidative Phosphorylation	1673401 1631852 1630639 1748099 1649716 1630837 1623765 1623767	
1808441	R_G6Pter@MODELID_222668	1808355	1808324	1.0	1.0	TRANSLOCATION	-999999.0	999999.0	glucose 6-phosphate endoplasmic reticular transport via diffusion		1733227 1646960 1625796 1688884	
1808440	R_SUCCt2r@MODELID_222668	1807638 1808250	1807639 1808246	1.0 1.0	1.0 1.0	TRANSLOCATION	-999999.0	999999.0	succinate transport via proton symport			
1808447	R_SUCOASm@MODELID_222668	1807642 1807307 1807222	1807285 1807527 1807707	1.0 1.0 1.0	1.0 1.0 1.0	REACTION	-999999.0	999999.0	Succinate--CoA ligase (ADP-forming)	Citric Acid Cycle	1657944 1682539 1621962 1747663 1633471	
1808446	R_RIBFLVt2@MODELID_222668	1807348 1808250	1808246 1807344	1.0 1.0	1.0 1.0	TRANSLOCATION	0.0	999999.0	riboflavin transport in via proton symport			
