ID	Entry	Name	Reference	Formula	Compartment ID	Compartment	Compartment (Integrated)	Model Metabolite ID	Model Metabolite Entry	Type	Bondary
1807195	M_atp_v@MODELID_222668	ATP		C10H12N5O13P3	1807182	C_v@MODELID_222668	VACUOLE	2580483	atp@MODELID_222668	SPECIE	
1807194	M_orn_m@MODELID_222668	Ornithine		C5H13N2O2	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580542	orn@MODELID_222668	SPECIE	
1807193	M_ergst_c@MODELID_222668	Ergosterol		C28H44O	1807178	C_c@MODELID_222668	CYTOSOL	2580205	ergst@MODELID_222668	SPECIE	
1807192	M_ergst_b@MODELID_222668	Ergosterol		C28H44O	1807180	C_e@MODELID_222668	BOUNDARY	2580205	ergst@MODELID_222668	SPECIE	
1807199	M_atp_x@MODELID_222668	ATP		C10H12N5O13P3	1807183	C_x@MODELID_222668	PEROXISOME	2580483	atp@MODELID_222668	SPECIE	
1807198	M_trnaasp_c@MODELID_222668	tRNA(Asp)		R	1807178	C_c@MODELID_222668	CYTOSOL	2580250	trnaasp@MODELID_222668	SPECIE	
1807197	M_h2o_n@MODELID_222668	H2O		H2O	1807177	C_n@MODELID_222668	NUCLEUS	2580186	h2o@MODELID_222668	SPECIE	
1807196	M_ergst_e@MODELID_222668	Ergosterol		C28H44O	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580205	ergst@MODELID_222668	SPECIE	
1807187	M_hdcea_e@MODELID_222668	Hexadecenoate (n-C16:1)		C16H29O2	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580068	hdcea@MODELID_222668	SPECIE	
1807186	M_h2o_x@MODELID_222668	H2O		H2O	1807183	C_x@MODELID_222668	PEROXISOME	2580186	h2o@MODELID_222668	SPECIE	
1807185	M_hdcea_c@MODELID_222668	Hexadecenoate (n-C16:1)		C16H29O2	1807178	C_c@MODELID_222668	CYTOSOL	2580068	hdcea@MODELID_222668	SPECIE	
1807184	M_hdcea_b@MODELID_222668	Hexadecenoate (n-C16:1)		C16H29O2	1807180	C_e@MODELID_222668	BOUNDARY	2580068	hdcea@MODELID_222668	SPECIE	
1807191	M_h2o_r@MODELID_222668	H2O		H2O	1807179	C_r@MODELID_222668	RETICULUM	2580186	h2o@MODELID_222668	SPECIE	
1807190	M_ipc324_SC_c@MODELID_222668	Inositol phosphorylceramide, ceramide-3 (24C), yeast-specific		C4800H9500N100O1300P100	1807178	C_c@MODELID_222668	CYTOSOL	2580260	ipc324_SC@MODELID_222668	SPECIE	
1807189	M_h2o_v@MODELID_222668	H2O		H2O	1807182	C_v@MODELID_222668	VACUOLE	2580186	h2o@MODELID_222668	SPECIE	
1807188	M_3dsphgn_c@MODELID_222668	_3-Dehydrosphinganine		C18H38NO2	1807178	C_c@MODELID_222668	CYTOSOL	2580189	3dsphgn@MODELID_222668	SPECIE	
1807227	M_orn_e@MODELID_222668	Ornithine		C5H13N2O2	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580542	orn@MODELID_222668	SPECIE	
1807226	M_orn_b@MODELID_222668	Ornithine		C5H13N2O2	1807180	C_e@MODELID_222668	BOUNDARY	2580542	orn@MODELID_222668	SPECIE	
1807225	M_valtrna_c@MODELID_222668	L-Valyl-tRNA(Val)		C5H10NOR	1807178	C_c@MODELID_222668	CYTOSOL	2580488	valtrna@MODELID_222668	SPECIE	
1807224	M_trnagly_c@MODELID_222668	tRNA(Gly)		R	1807178	C_c@MODELID_222668	CYTOSOL	2580202	trnagly@MODELID_222668	SPECIE	
1807231	M_co2_b@MODELID_222668	CO2		CO2	1807180	C_e@MODELID_222668	BOUNDARY	2580258	co2@MODELID_222668	SPECIE	
1807230	M_h2o_g@MODELID_222668	H2O		H2O	1807181	C_g@MODELID_222668	GOLGI	2580186	h2o@MODELID_222668	SPECIE	
1807229	M_alac_DASH_S_m@MODELID_222668	(S)-2-Acetolactate		C5H7O4	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580207	alac_DASH_S@MODELID_222668	SPECIE	
1807228	M_atp_n@MODELID_222668	ATP		C10H12N5O13P3	1807177	C_n@MODELID_222668	NUCLEUS	2580483	atp@MODELID_222668	SPECIE	
1807219	M_pro_DASH_L_b@MODELID_222668	L-Proline		C5H9NO2	1807180	C_e@MODELID_222668	BOUNDARY	2580509	pro_DASH_L@MODELID_222668	SPECIE	
1807218	M_octa_c@MODELID_222668	octanoate (n-C8:0)		C8H15O2	1807178	C_c@MODELID_222668	CYTOSOL	2580615	octa@MODELID_222668	SPECIE	
1807217	M_cystrna_c@MODELID_222668	L-Cysteinyl-tRNA(Cys)		C3H6NOSR	1807178	C_c@MODELID_222668	CYTOSOL	2580534	cystrna@MODELID_222668	SPECIE	
1807216	M_cer3_24_c@MODELID_222668	Ceramide-3 (Phytosphingosine:n-C24:0OH)		C42H85NO5	1807178	C_c@MODELID_222668	CYTOSOL	2580359	cer3_24@MODELID_222668	SPECIE	
1807223	M_orn_c@MODELID_222668	Ornithine		C5H13N2O2	1807178	C_c@MODELID_222668	CYTOSOL	2580542	orn@MODELID_222668	SPECIE	
1807222	M_atp_m@MODELID_222668	ATP		C10H12N5O13P3	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580483	atp@MODELID_222668	SPECIE	
1807221	M_4mpetz_c@MODELID_222668	_4-Methyl-5-(2-phosphoethyl)-thiazole		C6H8NO4PS	1807178	C_c@MODELID_222668	CYTOSOL	2580624	4mpetz@MODELID_222668	SPECIE	
