Id	Entry	Name
16119	META:L-ALA-GAMMA-D-GLU	null
23069	META:CPD-12840	null
394611	META:HEXAKISPHOSPHATE	null
420147	META:HMDB01891	null
448843	META:CPD-865	null
448477	META:CPD-14552	null
483464	META:1-Lysophosphatidates	null
509989	META:7-O-METHYLLUTEON	null
507761	META:D-glucose-6-phosphate	null
604004	META:14461	null
735653	META:1-METHYLADENINE	null
804323	META:Glucosyl-Cermaides	null
810818	META:MY149879	null
810819	META:MY148411	null
801395	META:CPD-12330	null
801466	META:CPD-12329	null
838769	META:EICOSAPENTAENOATE	null
846357	META:dicarboxylic acid monoamide	null
887556	META:Microcystins	null
887679	META:CPD-7214&redirect=T	null
939147	META:CPD-11378	null
949301	META:CPD-17129	null
949420	META:CPD-17179	null
949083	META:tRNA-Holder	null
961561	META:DNA-Holder	null
984453	META:CPD0-1041	null
1058214	META:C14279	null
1061033	META:CPD8J2-7	null
1061045	META:CPD8J2-6	null
1065519	META:ORNITHINE	null
1065887	META:CPD8J2-5	null
1064546	META:CSC	null
1081402	META:Ribosomal-protein-S12-3-thio-Asp89	null
1080559	META:D-FUCOSE	null
1098720	META:CPD-7689	null
1115757	META:CPD-17508	null
1115469	META:CPD-17539	null
1115493	META:CPD-17541	null
1115509	META:CPD-17540	null
1115711	META:CPD-17546	null
1116625	META:CPD-17535	null
1116758	META:CPD-17536	null
1116766	META:CPD-17551	null
1116819	META:CPD-17511	null
1116829	META:CPD-17510	null
1125402	META:CPD-3686	null
1203468	META:renillar luciferin	null
1295487	META:ALPHA-ALANINE	null
1535553	META:CPD-13486	(+)-<i>cis</i>-3,4-dihydrophenanthrene-3,4-diol
1535559	META:CPD-12153	2,4,6-trinitrobenzene sulfonate
1535568	META:CPD-12156	7-(3-methylbut-2-enyl)-L-tryptophan
1535571	META:CPD-13485	phenanthrene
1535574	META:ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA	thromboxane A<sub>2</sub>
1535582	META:CPD-13482	<i>p</i>-aminobenzyl alcohol
1535780	META:CPD-12193	ricinoleate
1535791	META:E-2-METHOXYCARBONYLMETHYLBUTENEDIOAT	(E)-2-(methoxycarbonylmethyl)butenedioate
1535795	META:CPD-12192	densipolate
1535802	META:CPD-12191	auricolate
1534946	META:CPD-14779	D-galactono-1,5-lactone
1534951	META:CPD-13449	neoagarooctaose
1534956	META:CPD-12119	demethylmenaquinol-10
1534963	META:CPD-13446	neocarratetraose 4-<i>O</i>-disulfate
1534969	META:CPD-12114	cis-enol-3-oxomelilotoyl-CoA
1534974	META:CPD-14777	<i>sn</i>-2-C16:0-DCA-LPA
1534983	META:CPD-13447	&iota;-neocarratetraose sulfate
1534989	META:CPD-12113	3-oxomelilotoyl-CoA
1534994	META:CPD-14778	2-docosanoyl-glycerol 3-phosphate
1535005	META:CPD-13444	&iota;-carrabiose
1537828	META:CPD-12261	a peptidoglycan with D,D cross-links (<I>meso</I>-diaminopimelate containing)
1537834	META:BUTHIONINE-SULFOXIMINE	buthionine sulfoximine
1537840	META:QUINOLIN-2-OL	quinolin-2-ol
1537845	META:CPD-13589	<i>sec</i>-butylmercury
1537851	META:CPD-12259	a peptidoglycan dimer (S. aureus)
1537952	META:CPD-13577	formylaminopyrimidine
1537957	META:CPD-12242	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-L-lysyl-(<i>N</i><sup>6</sup>-glycyl)-D-alanyl-D-alanine
1537963	META:TAG-18-2-38-1s	a TAG(18:2/38:1)
1537968	META:CPD-13575	2-[(2<i>R</i>,5<i>Z</i>)-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene]ethyl phosphate
1537974	META:CPD-13572	zealexin B1
1537980	META:GlcCer-42-2-2s	a glucosylceramide(42:2)-2
1536864	META:CPD-14944	3,7,3',5'-tetramethylmyricetin
1536870	META:CPD-13614	methylbutenol
1536876	META:CPD-14945	3,7,3',4',5'-pentamethylmyricetin
1536881	META:CPD-13611	sphinganine (C20)
1536887	META:CPD-14942	3,7-dimethylmyricetin
1536893	META:CPD-13612	sphinganine
1536901	META:CPD-14943	3,7,3'-trimethylmyricetin
1536907	META:CPD-14940	7,3',5'-trimethylmyricetin
1536912	META:CPD-13610	3-dehydrosphinganine (C20)
1536919	META:CPD-14941	3,3',4',5'-tetramethylmyricetin
1536925	META:tRNA-Adenine-9	an adenine<sup>9 </sup> in tRNA
1536927	META:GLC-1-P	&alpha;-D-glucose 1-phosphate
1537089	META:CPD-14922	3-<i>cis</i>-octadecenoyl-CoA
1537094	META:CPD-14923	(<i>R</i>)-3-hydroxytetradecanoyl-CoA
1537099	META:CPD-12224	&alpha;-fenchocamphorone
1537105	META:CPD-13556	panose
1537110	META:CPD-14887	3,6,7,4'-tetramethylquercetagetin 3'-<i>O</i>-&beta;-<i>D</i>-glucoside
1537115	META:CPD-12223	&beta;-fenchene
1537120	META:CPD-13557	D-glucosyl-&alpha;(1&rarr;3)- mannose
1537125	META:CPD-14888	3,6,7,2',4'-pentamethylquercetagetin
1537129	META:CPD-14885	3-aminobenzoate
1537136	META:CPD-12226	&alpha;-phellandrene
1537141	META:CPD-12225	&beta;-fenchocamphorone
1537146	META:CPD-14886	3,7,4'-trimethylquercetagetin 3'-<i>O</i>-&beta;-<i>D</i>-glucoside
1537150	META:CPD-13555	4-hydroxybutyraldehyde
1537312	META:CPD-13546	3-(methylthio)propionyl-CoA
1537320	META:CPD-12215	coumaryl acetate
1537324	META:CPD-13543	kauralexin B2
1537330	META:CPD-14874	grixazone A
1537334	META:CPD-12214	triferuloyl spermidine
1537339	META:CPD-13544	kauralexin B3
1537443	META:CPD-14867	8-hydroxykaempferol
1537449	META:CPD-13536	9-<i>cis</i>-retinal
1537455	META:CPD-14868	coniferonate
1537461	META:CPD-12207	(1E,6E)-1-(4-hydroxyphenyl)-7-phenylhepta-1,6-diene-3,5-dione
1537468	META:CPD-12202	1-phenyl-7-(3,4-dihydroxyphenyl)-hepta-1,3-dien-5-one
1537539	META:CPD-14862	2'-hydroxy 3,6,7,3',4'-pentamethylquercetagetin
1537543	META:CPD-14860	3,6,7,3',4'-pentamethylquercetagetin
1537548	META:BARBITAL	barbital
1537558	META:ALBENDAZOLE-S-OXIDE	albendazole s-oxide
1537563	META:MI-HEXAKISPHOSPHATE	1D-<i>myo</i>-inositol 1,2,3,4,5,6-hexakisphosphate
1537603	META:CPD-14856	3,6,7,4'-tetramethylquercetagetin
1537607	META:CPD-13525	13-<i>cis</i>-retinal
1537614	META:CPD-14857	3,7,4'-trimethylquercetagetin
1537619	META:CPD-14854	2'-hydroxy 3,7,3',4'-tetramethylquercetin
1537623	META:CPD-13524	<i>all-trans</i>-retinol
1537630	META:Alpha-lactose	&alpha;-lactose
1539205	META:CPD-4568	14-hydroxylanosterol
1539211	META:CPD-4567	cicerin-7-O-glucoside-6''-malonate
1539217	META:PHOSPHORIBOSYL-ATP	1-(5-phospho-&beta;-D-ribosyl)-ATP
1539224	META:CPD-4569	homoferreirin
1539228	META:CPD-12422	4-sinapoyloxybutylglucosinolate
1539265	META:CPD-13752	3-oxo-23,24-bisnorchol-4-en-17-ol-22-oyl-CoA
1539270	META:CPD-12423	2-sinapoyloxy-3-butenylglucosinolate
1539276	META:CPD-13750	epiandrosterone
1539280	META:CPD-13751	3-oxo-23,24-bisnorchol-4,17(20)-dien-22-oyl-CoA
1539284	META:CPD-12420	4-benzoyloxybutylglucosinolate
1539290	META:5Z13E-69-ALPHA-EPOXY-11-ALPHA-HYDROXPROS	15-dehydro-prostaglandin I2
1539294	META:CPDQT-350	8-methylthiooctanaldoxime
1539297	META:TAG-18-3-40-0s	a TAG(18:3/40:0)
1539302	META:CPDQT-349	tetrahomomethionine
1539306	META:CPD-4575	4&alpha;-hydroxymethyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol
1539312	META:CPD-4574	4,4-dimethyl-14&alpha;-formyl-5&alpha;-cholesta-8,24-dien-3&beta;,15&alpha;-diol
1539317	META:CPD-4577	4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol
1539325	META:12-OXO-CIS-9-DODECENOATE	(9Z)-12-oxo-dodec-9-enoate
1539427	META:CPD-13743	9&alpha;-hydroxy-3-oxo-23,24-bisnorchol-1,4-dien-22-yl-CoA
1539433	META:CPD-12410	2,4-bis(5,6-dihydroxy-1<i>H</i>-indol-2-yl)-1<i>H</i>-indole-5,6-diol
1539438	META:CPD-13744	3-one-9-hydroxy-23,24-bisnorchol-4-en-22-oate
1539445	META:CPD-12413	4,7-bis(2-carboxylato-5,6-dihydroxy-1<i>H</i>-indol-4-yl)-5,6-dihydroxy-1<i>H</i>-indole-2-carboxylate
1539451	META:CPD-12412	7-(2-carboxylato-5,6-dihydroxy-1<i>H</i>-indol-4-yl)-5,6-dihydroxy-1<i>H</i>-indole-2-carboxylate
1539907	META:CPD-13669	11&alpha;,30-dihydroxy-&beta;-amyrin
1539911	META:CPD-12334	D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose 1,7-bisphosphate
1539918	META:CPD-14997	hyperxanthone E
1539927	META:CPD-13666	11&alpha;-hydroxy-&beta;-amyrin
1539931	META:CPD-14998	cyanidin-3-<i>O</i>-&beta;-D-galactoside
1539935	META:CPD-12333	methyl gibberellin A<sub>20</sub>
1540002	META:CPD-12332	methyl gibberellin A<sub>4</sub>
1540012	META:CPD-13661	(S)-pyrethrolone
1540016	META:CPD-14992	quercetin 3-<i>O</i>-(4"-<i>O</i>-<i>p</i>-coumaroyl)-glucoside
1540020	META:CPD-12331	methyl gibberellin A<sub>9</sub>
1540029	META:CPDQT-264	4-methoxyindole-3-carbaldehyde
1540035	META:CPD-14990	isorhamnetin 3-<i>O</i>-(3"-<i>O</i>-<i>p</i>-coumaroyl)-glucoside
1540039	META:CPDQT-262	9-methylthiononanaldoxime
1540042	META:CPDQT-256	pentahomomethionine
1540045	META:256-TRIHYDROXY-56-DIHYDROQUINOLINE	2,5,6-trihydroxy-5,6-dihydroquinoline
1540049	META:BILIRUBIN	bilirubin
1540053	META:Adenine-Nucleotides	an adenine nucleotide
1540055	META:17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-	(20S)-17,20-dihydroxypregn-4-en-3-one
1540061	META:CPD-12327	n-butyronitrile
1541666	META:CPD-5724	thioguanine S-methylether
1541672	META:2-FUROATE	2-furoate
1541679	META:Pyruvate-dehydrogenase-dihydrolipoate	a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-dihydrolipoyl-L-lysine
1541682	META:O-DEMETHYLPUROMYCIN	O-demethylpuromycin
1541687	META:CIS-N-METHYL-S-781314-TETRAHYDROPRO	<i>cis-N-methyl-(S)-</i>7,8,13,14-tetrahydroprotoberberine
1541692	META:DNA-Containing-Cytosine	a DNA containing deoxycytosine
1541695	META:RIBOSE-1-ARSENATE	ribose-1-arsenate
1542402	META:20S22S25S-2225-EPOXYFUROST	(20S,22S,25S)-22,25-epoxyfurost-5-ene-3-&beta;,26-diol
1542407	META:CPD-13869	(+)-isopimara-8,15-diene
1542412	META:CPD-13866	(-)-&delta;-cadinene
1542416	META:CPD-12538	&alpha;-D-glucosamine
1542421	META:3-HYDROXY-5917-TRIOXO-45910-DISECOA	(1<i>E</i>,2<i>Z</i>)-3-hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1 (10),2-dien-4-oate
1542430	META:CPD-13867	(+)-T-muurolol
1542498	META:CPD-12524	&beta;-D-galacturonate
1542505	META:CPD-13858	5-<i>epi</i>-&alpha;-selinene
1542511	META:CPD-13855	<i>N</i><sup>7</sup>-methylguanosine 5'-diphosphate
1542516	META:CPD-12527	2-<i>O</i>-sulfo-&beta;-D-glucuronate
1542523	META:PROTEIN-LIPOYLLYSINE	a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine
1542526	META:CPD-12526	<i>N</i>-acetyl-D-galactosamine 4,6-bissulfate
1542533	META:CPD-12521	&beta;-D-glucuronate
1542541	META:CPD-13853	8-oxo-dGDP
1542546	META:CPD-12520	2'-deoxyuridine 5'-&alpha;,&beta;-imido-diphosphate
1542553	META:CPD-13854	tetracosahexanoate
1542559	META:CPD-12523	&alpha;-D-galacturonate
1538694	META:tRNAPhe-Containing-isowyosine-37	isowyosine<sup>37</sup> in tRNA<sup>Phe</sup>
1538698	META:DIISOPROPYL-PHOSPHATE	diisopropyl phosphate
1538701	META:CPD-4505	2,6-dimethyl-4-tridecyl-morpholine
1538713	META:CPD-4507	1-naphthalenesulfonamide, n-(6-aminohexyl)-5- chloro-
1540100	META:CPD-13655	pyrethrin I
1540103	META:CPD-14986	quercetin 3-<i>O</i>-(3"-<i>O</i>-<i>p</i>-coumaroyl, 6"-<i>O</i>-feruloyl)-glucoside
1540108	META:CPD-13656	prosolanapyrone III
1540112	META:CPD-14987	isorhamnetin 3-<i>O</i>-(3",6"-<i>O</i>-di-<i>p</i>-coumaroyl)-glucoside
1540117	META:CPD-13653	prosolanapyrone I
1540120	META:CPD-14984	quercetin 3-<i>O</i>-(3',6"-<i>O</i>-di-<i>p</i>-coumaroyl)-glucoside
1540126	META:CPD-13654	prosolanapyrone II
1540228	META:CPD-3184	cotinine methonium ion
1540236	META:CPD-3185	cotinine N-oxide
1540245	META:CPD-3186	nicotine-&Delta;<sup>1'5'</sup>-iminium ion
1540291	META:CPD-12315	bismorphine A
1540296	META:CPD-12318	3-hydroxypyridine
1540303	META:CPD-13646	6-shogaol
1540308	META:CPD-14977	kaempferol 3-<i>O</i>-(6"-<i>O</i>-feruloyl)-glucoside
1540313	META:CPD-13647	4-coumaroylhexanoylmethane
1540317	META:CPD-14978	quercetin 3-<i>O</i>-(6"-<i>O</i>-<i>p</i>-coumaroyl)-glucoside
1540322	META:CPD-12317	anabasine
1540327	META:CPD-13644	L-<i>N<sup>&delta;</sup></i>-acetylornithine
1540334	META:CPD-13645	6-dehydrogingerdione
1540339	META:CPD-12311	a peptidoglycan with D,D cross-link (E. faecium)
1540345	META:CPD-14976	kaempferol 3-<i>O</i>-(6"-<i>O</i>-<i>p</i>-coumaroyl)-glucoside
1540351	META:CPD-14973	pinobanksin 7-<i>O</i>-glucoside
1540389	META:CPD-14972	isorhamnetin 7-<i>O</i>-glucoside
1540394	META:CPD-12310	a peptidoglycan dimer (E. faeciums)
1540400	META:CPD-14970	rhamnetin 3-<i>O</i>-glucoside
1540406	META:CPD-3191	4-oxo-4-(3-pyridyl)-N-methylbutanamide
1540415	META:CPD1F-420	kaempferol-3-glucoside-7-rhamnoside
1540456	META:CPD-3194	4-(3-pyridyl)-3-butenoate
1540464	META:CPDQT-281	4-methylthiobutyl glucosinolate
1540470	META:CPDQT-284	5-methylsulfinylpentyl glucosinolate
1540474	META:CPD-3190	4-oxo-4-(3-pyridyl)-butanamide
1540512	META:CPD-12308	a peptidoglycan dimer (tetrapeptide)
1540518	META:CPD-13639	neopentalenolactone
1540522	META:CPD-14968	(2E,4E,6E)-7-hydroxy-5-methylhepta-2,4,6-trienal
1540526	META:CPD-12305	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-L-lysyl-D-alanine
1540536	META:CPD-12304	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-glutamyl-L-lysyl-D-alanine
1540545	META:CPD-14969	isorhamnetin 3-<i>O</i>-glucoside
1540550	META:CPD-13638	neopentalenolactone E
1540554	META:CPD-14966	(2Z,4Z)-2-hydroxy-5-carboxymuconate-6-semialdehyde
1540560	META:CPD-12307	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-N-(&beta;-D-asparaginyl)-L-lysyl-D-alanine
1540567	META:CPD-14967	(2Z,4Z)-2-amino-5-carboxymuconate-6-semialdehyde
1540573	META:CPD-13636	9,10-epoxy-12-cis-octadecenoate
1540579	META:CPD-12306	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-N-(&beta;-D-asparatyl)-L-lysyl-D-alanine
1540585	META:CPD-12389	4-methylthiobutanonitrile oxide
1540590	META:CPD-12388	indole-3-acetohydroximoyl-cysteinylglycine
1540595	META:CPD-12385	phenylacetohydroximoyl-cysteinylglycine
1540601	META:CPD-12384	phenylacetohydroximoyl-glutathione
1540737	META:CPD-12367	8-oxo-GMP
1540743	META:CPD-13699	3,22-dioxochol-4-en-24-oyl-CoA
1540747	META:CPD-12366	8-oxo-GTP
1540754	META:CPD-13697	3-oxochol-4,22-dien-24-oyl-CoA
1540758	META:CPD-12368	9'-<i>cis</i>-neurosporene
1540764	META:CPD-13698	22-hydroxy-3-oxochol-4-en-24-oyl-CoA
1540769	META:CPD-12363	ergotamine
1540776	META:CPD-13695	3,24-dioxocholest-4-en-26-oyl-CoA
1540782	META:CPD-12362	16, 17-dihydro-16&alpha;, 17-dihydroxy gibberellin A<sub>9</sub>
1540791	META:CPD-13696	3-oxochol-4-en-24-oyl-CoA
1540795	META:CPD-12365	8-oxo-dGMP
1540867	META:CPD-13689	3-oxocholest-4-en-26-oate
1540870	META:CPD-13686	1-naphthol glucoside
1540876	META:CPD-12358	elymoclavine
1540881	META:CPD-13687	1-naphthol 6'-O-malonylglucoside
1540886	META:CPD-12357	agroclavine
1540890	META:CPD-11021	1-methylimidazole
1540932	META:CPD-13683	2-naphthol glucoside
1540939	META:CPD-12353	16&alpha;, 17-epoxy gibberellin A<sub>12</sub>
1540945	META:CPD-13680	9&alpha;-hydroxyandrosta-1,4-diene-3,17-dione
1540950	META:CPD-12350	methyl gibberellin A<sub>34</sub>
1540959	META:CPD1F-462	kaempferol-3-rhamnoside-7-rhamnoside
1540965	META:CPD1F-461	kaempferol-3-rhamnoside
1540971	META:CPD-11018	isorhamnetin 3, 4'-bisulfate
1540977	META:CPD-12349	2-dehydro-3-deoxy-L-galactonate
1540983	META:CPD-12348	methoxydihydrosorgoleone
1540991	META:CPD-13679	cholest-dien-3-one
1541122	META:CPD-12399	7-methylthioheptylhydroximoyl-glutathione
1541128	META:CPD-12396	6-methylthiohexylhydroximoyl-glutathione
1541134	META:CPD-12395	6-methylthiohexanonitrile oxide
1541140	META:CPD-12398	7-methylthioheptanonitrile oxide
1541146	META:CPD-12397	6-methylthiohexylhydroximoyl-cysteinylglycine
1541152	META:CPD-12392	5-methylthiopentanonitrile oxide
1541157	META:CPD-12391	4-methylthiobutylhydroximoyl-cysteinylglycine
1541163	META:CPD-12394	5-methylthiopentylhydroximoyl-cysteinylglycine
1541169	META:CPD-12393	5-methylthiopentylhydroximoyl-glutathione
1541175	META:Guanine26-Guanine27-in-tRNAs	guanine<sup>26</sup>/guanine<sup>27</sup> in tRNA
1541177	META:CPD-12390	4-methylthiobutylhydroximoyl-glutathione
1541183	META:GLYCOLALDEHYDE	glycolaldehyde
1541760	META:CPD-12500	26-hydroxycastasterone
1541764	META:4-METHYLPENTANAL	4-methylpentanal
1541768	META:L-GLYCERALDEHYDE	L-glyceraldehyde
1541774	META:HS	hydrogen sulfide
1541780	META:Diaryl-Sulfone-Derivatives	a diaryl sulfone derivative
1541782	META:HX	HX
1541783	META:CPDQT-426	ascorbigen
1541788	META:CPD-5741	rotenone
1541793	META:CPDQT-425	indol-3-ylmethyl-glutathione
1541799	META:CPD-5743	thenoyl trifluoro acetone
1541807	META:CPDQT-428	indole-3-carbinol
1541811	META:CPD-5742	amobarbital
1541816	META:CPDQT-427	indol-3-ylmethyl-cysteine
1541822	META:CPDQT-422	4-pentenylglucosinolate
1541856	META:CPD-13827	oleandolide
1541859	META:CPD-13824	mycinamicin V
1541864	META:3-METHYLBENZYLSUCCINATE	(3-methylbenzyl)succinate
1541871	META:CPD-5744	antimycin A
1541876	META:CPDQT-429	indolylmethylisothiocyanate
1541884	META:CPD-13825	L-oleandrosyl-oleandolide
1541887	META:CPD-13822	mycinamicin II
1542053	META:CPD-13817	hexahydroindanone-coA
1542058	META:CPD-13815	eicosatrienoate
1542061	META:CPDQT-419	8-methylthiooctyldesulfoglucosinolate
