Id	Entry	Left	Right	LeftStoich	RightStoich
1712833	META:3.4.21.65-RXN	1615894 1583219	1615896 1615896	1.0 1.0	1.0 1.0
1712835	META:RXN-5183	1572800 1603294 1569568	1542760 1610854 1603217	1.0 1.0 1.0	1.0 1.0 1.0
1712839	META:RXN-5182	1546634 1611946	1603294 1610535	1.0 1.0	1.0 1.0
1712841	META:RXN-5185	1558635 1583219	1582146 1559426	1.0 1.0	1.0 1.0
1712843	META:RXN-5184	1603463 1558635	1543802 1603217	1.0 1.0	1.0 1.0
1712846	META:RXN3O-1120	1562255 1583219 1594040 1563457	1572800 1610842 1566931 1572576	1.0 1.0 1.0 1.0	1.0 1.0 1.0 1.0
1712848	META:2.4.1.167-RXN	1612066 1562305	1583294 1572800 1560057	1.0 1.0	1.0 1.0 1.0
1712851	META:HYDROXYACID-OXOACID-TRANSHYDROGENASE-RXN	1594288 1603463	1556300 1569079	1.0 1.0	1.0 1.0
1712854	META:RXN3O-1118	1538584	1583219 1565179	1.0	1.0 1.0
1712855	META:KDOTRANS2-RXN	1584215 1572064	1572800 1533406 1610961	1.0 1.0	1.0 1.0 1.0
1712859	META:RXN-5165	1610356 1572800 1569568	1610327 1610854	1.0 1.0 1.0	1.0 1.0
1712861	META:1.20.99.1-RXN	1556679 1583219 1555431	1581161 1572800 1581560	1.0 1.0 1.0	1.0 1.0 1.0
1712866	META:RXN-5164	1610854 1610356	1610310 1569568 1572800	1.0 1.0	1.0 1.0 1.0
1712869	META:RXN-5166	1569568 1572800 1610356	1610854 1610289	1.0 1.0 1.0	1.0 1.0
1712870	META:RXN-5161	1610322 1610854	1569568 1572800 1611371	1.0 1.0	1.0 1.0 1.0
1712873	META:RXN-5163	1610854 1592432	1572800 1569568 1610310	1.0 1.0	1.0 1.0 1.0
1712875	META:RXN-5162	1610322 1610854 1572800	1569568 1610310	1.0 1.0 1.0	1.0 1.0
1712876	META:3.1.4.51-RXN	1583219 1573524	1541474 1536927 1572800	1.0 1.0	1.0 1.0 1.0
1712878	META:GUANPRIBOSYLTRAN-RXN	1543854 1570608	1559179 1588471	1.0 1.0	1.0 1.0
1712883	META:3.5.1.91-RXN	1583219 1573983	1589894 1581701	1.0 1.0	1.0 1.0
1712886	META:ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN	1546642 1560757	1575140 1600940	1.0 1.0	1.0 1.0
1712888	META:SORB6PDEHYDROG-RXN	1596609 1563457	1572800 1610842 1608854	1.0 1.0	1.0 1.0 1.0
1712894	META:TYROSINE--ARGININE-LIGASE-RXN	1611733 1611946 1582206	1616034 1570608 1572800 1611144	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1712897	META:3.4.23.23-RXN	1583219 1615894	1615896 1615896	1.0 1.0	1.0 1.0
