Id	Entry	Left	Right	LeftStoich	RightStoich	Name
3699328	rxn02796	3652556 3657337	3654994 3652923	1.0 1.0	1.0 1.0	chenodeoxycholoyltaurine amidohydrolase
3699329	rxn00132	3652556 3652585	3652878 3652570	1.0 1.0	1.0 1.0	Adenosine 5'-monophosphate phosphohydrolase
3699331	rxn02797	3654994 3654122	3652677 3652582 3656136 3652556	1.0 1.0	1.0 1.0 1.0 1.0	lithocholate:FAD oxidoreductase (7alpha-dehydroxylating)
3699332	rxn26720	3691780	3692119 3652556	1.0	1.0 1.0	cis-delta17-3-hydroxyC36:1-[acyl-carrier protein] dehydratase
3699334	rxn00135	3652556 3656404	3652568 3652585 3652677	1.0 1.0	1.0 1.0 1.0	(S)-Lactate adenylohydrolase
3699335	rxn02794	3652574 3654994 3652557	3652585 3652577 3657217	1.0 1.0 1.0	1.0 1.0 1.0	chenodeoxycholate:CoA ligase (AMP-forming)
3699336	rxn26721	3652560 3692133	3652558 3691659	1.0 1.0	1.0 1.0	trans-delta2-cis,cis-delta11,29-C48:3-[acyl-carrier protein] reductase (NADPH, B-specific)
3699338	rxn00134	3652878 3652557	3652568 3652585 3652677	1.0 1.0	1.0 1.0 1.0	ATP:adenosine 5'-phosphotransferase
3699340	rxn02795	3652556 3657339	3652608 3654994	1.0 1.0	1.0 1.0	Glycochenodeoxycholate amidohydrolase
3699341	rxn26722	3691685 3668962	3689306 3652575 3691697	1.0 1.0	1.0 1.0 1.0	cis,cis-delta17,35-3-oxo-C54:2-[acyl-carrier protein] synthase
3699343	rxn00137	3652629 3652556	3652570 3652585	1.0 1.0	1.0 1.0	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase
3699345	rxn26723	3652561 3691703	3691701 3652565	1.0 1.0	1.0 1.0	cis,cis-delta19,31-3-oxo-C50:2-[acyl-carrier protein] reductase
3699347	rxn00136	3657995 3652556	3652585 3652677 3652568	1.0 1.0	1.0 1.0 1.0	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase
3699348	rxn26724	3652560 3692119	3652558 3691784	1.0 1.0	1.0 1.0	trans-delta2-cis-delta17-C36:2-[acyl-carrier protein] reductase
3699350	rxn00139	3652577 3652585 3652677	3652788 3652742	1.0 1.0 1.0	1.0 1.0	AMP:diphosphate phospho-D-ribosyltransferase
3699353	rxn02798	3655004 3652556	3652677 3653173 3652634	1.0 1.0	1.0 1.0 1.0	Estrone 3-sulfate sulfohydrolase
3699354	rxn26725	3687944 3687949	3691822 3679699 3652574 3652585	1.0 1.0	1.0 1.0 1.0 1.0	cis-methoxy-meroacyl-AMP transferase
3699356	rxn00138	3653556 3652578 3652557	3652585 3652558 3652677 3652577	1.0 1.0 1.0	1.0 1.0 2.0 1.0	deamido-NAD+:ammonia ligase (AMP-forming)
3699358	rxn02799	3655028 3652677 3652567 3652561	3652737 3652565 3655715	1.0 2.0 1.0 2.0	1.0 2.0 1.0	Pentachlorophenol,NADPH:oxygen oxidoreductase (hydroxylating,
3699359	rxn26726	3687974	3652677 3688115	1.0	2.0 1.0	RXN3DJ-11100.c
3699361	rxn26727	3653534 3688905	3652574 3687974 3652677	1.0 1.0	1.0 1.0 1.0	RXN3DJ-118.c
3699363	rxn26729	3653718 3652677	3652575 3653486	1.0 1.0	1.0 1.0	aromatic-L-amino-acid decarboxylase
3699365	rxn12110	3660206 3652584	3655160 3652587 3652677	1.0 1.0	1.0 1.0 1.0	S-Adenosyl-L-methionine:D-cathine N-methyltransferase
3699366	rxn12111	3652677 3660207	3654874	2.0 1.0	1.0	R08466
3699368	rxn12112	3654874 3652584	3654279 3652677 3652587	1.0 1.0	1.0 1.0 1.0	S-Adenosyl-L-methionine:norephedrine N-methyltransferase
3699369	rxn12113	3652584 3656760	3652587 3673252	1.0 1.0	1.0 1.0	S-Adenosyl-L-methionine:2-(3-carboxy-3-aminopropyl)-L-histidine methyltransferase
3699370	rxn12114	3652584 3673252	3652587 3669455	1.0 1.0	1.0 1.0	S-Adenosyl-L-methionine:2-(3-carboxy-3-aminopropyl)-L-histidine methyltransferase
3699371	rxn12115	3665399	3663548	1.0	1.0	R08470
3699373	rxn38709	3653198 3652557	3652677 3655483 3652568	1.0 1.0	1.0 1.0 1.0	SHIKIMATE-KINASE-RXN.n
3699375	rxn12116	3665399	3663449	1.0	1.0	R08471
3699377	rxn38708	3652557 3653198	3655483 3652568 3652677	1.0 1.0	1.0 1.0 1.0	SHIKIMATE-KINASE-RXN.e
3699379	rxn12117	3665399	3663569	1.0	1.0	R08472
3699381	rxn38707	3691169 3652677 3652557 3652649	3652585 3688154 3652577	1.0 1.0 1.0 1.0	1.0 1.0 1.0	SERINE--TRNA-LIGASE-RXN.d
3699383	rxn12118	3652728	3673247	1.0	1.0	R08473
3699385	rxn38706	3653732 3652556	3652624 3652677 3652633	1.0 1.0	1.0 1.0 1.0	S-FORMYLGLUTATHIONE-HYDROLASE-RXN.v
3699387	rxn12108	3652675	3660207	1.0	1.0	R08463
3699389	rxn38716	3652614 3672157	3652750 3672159	1.0 1.0	1.0 1.0	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN.n.maizeexp.CPD-9956_UBIQUINONE-8
3699391	rxn12109	3652677 3660207	3660206	2.0 1.0	1.0	R08464
3699393	rxn38715	3652614 3691466	3652750 3691464	1.0 1.0	1.0 1.0	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN.n
3699395	rxn38714	3672157 3652614	3652750 3672159	1.0 1.0	1.0 1.0	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN.e.maizeexp.CPD-9956_UBIQUINONE-8
3699397	rxn38713	3691466 3652614	3652750 3691464	1.0 1.0	1.0 1.0	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN.e
3699399	rxn02781	3654949	3657653	1.0	1.0	R03955
3699401	rxn38712	3653461 3688736 3652567	3653763 3680475 3652556	1.0 1.0 1.0	1.0 1.0 1.0	squalene-2,3-epoxidase
3699403	rxn02782	3656241	3652677 3654954	1.0	1.0 1.0	2,5-Dihydro-5-oxofuran-2-acetate lyase (decyclizing)
3699405	rxn38711	3688481 3652557	3653838 3652677 3652568	1.0 1.0	1.0 1.0 1.0	SPHINGANINE-KINASE-RXN.e
3699407	rxn00120	3652666 3652556	3652570 3652677 3652580	1.0 1.0	1.0 1.0 1.0	UTP phosphohydrolase
3699408	rxn38710	3653198 3652557	3655483 3652568 3652677	1.0 1.0	1.0 1.0 1.0	SHIKIMATE-KINASE-RXN.w
3699410	rxn02780	3654949 3652556	3657492	1.0 1.0	1.0	R03954
3699412	rxn00122	3652557 3652641	3652577 3652582	1.0 1.0	1.0 1.0	ATP:FMN adenylyltransferase
3699415	rxn02785	3652558 3654969	3652560 3652677 3655082	1.0 1.0	1.0 1.0 1.0	2-Butyne-1,4-diol:NAD+ 1-oxidoreductase
3699416	rxn26730	3652556 3652814	3652580 3689007	1.0 1.0	1.0 1.0	RXN3DJ-64.c
3699418	rxn00121	3652582 3652556	3652677 3652641 3652585	1.0 1.0	2.0 1.0 1.0	FAD nucleotidohydrolase
3699419	rxn02786	3652677 3654971 3652567 3652560	3652556 3654991 3652558	1.0 1.0 1.0 1.0	1.0 1.0 1.0	2-hydroxybiphenyl,NADH:oxygen oxidoreductase (3-hydroxylating)
3699420	rxn26731	3652584 3679611	3652587 3652677 3669179	1.0 1.0	1.0 1.0 1.0	3-demethylubiquinol-6 3-O-methyltransferase
3699422	rxn00124	3652557 3652930	3652583 3652568 3652677	1.0 1.0	1.0 1.0 1.0	ATP:pyridoxal 5'-phosphotransferase
3699424	rxn02783	3652558 3652556 3654959	3655740 3652560 3652677 3652578	1.0 1.0 1.0	1.0 1.0 1.0 1.0	(3R)-beta-leucine:NAD+ oxidoreductase(deaminating)
3699426	rxn26732	3679611 3652584	3652677 3652587 3669179	1.0 1.0	1.0 1.0 1.0	3-demethylubiquinol-6 3-O-methyltransferase
3699427	rxn00123	3652556 3652583	3652570 3652930	1.0 1.0	1.0 1.0	pyridoxal-5'-phosphate phosphohydrolase
3699428	rxn02784	3655820 3652565	3652677 3654966 3652561	1.0 1.0	1.0 1.0 1.0	2'-hydroxy-2,3-dihydrodaidzein:NADP+ 2-oxidoreductase
3699429	rxn26733	3680475 3669179	3688736 3671868	1.0 1.0	1.0 1.0	RXN3O-117.c
3699431	rxn00126	3652556 3652663 3652557	3652577 3652677 3652584 3652570	1.0 1.0 1.0	1.0 1.0 1.0 1.0	ATP:L-methionine S-adenosyltransferase
3699434	rxn02789	3654974	3652556 3655064	1.0	1.0 1.0	2-Isopropylmalate hydro-lyase
3699436	rxn26734	3657621 3652567 3652677 3652561	3652556 3679614 3652565	1.0 1.0 1.0 1.0	1.0 1.0 1.0	RXN3O-12.c
3699438	rxn00125	3652556 3652584	3652677 3652948 3652817	1.0 1.0	1.0 1.0 1.0	S-Adenosyl-L-methionine hydrolase
3699439	rxn26735	3657621 3652561 3652567 3652677	3652565 3679614 3652556	1.0 1.0 1.0 1.0	1.0 1.0 1.0	RXN3O-12.m
3699441	rxn00128	3652584	3652677 3653985 3652817	1.0	1.0 1.0 1.0	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)
3699442	rxn02787	3653104 3654841	3655155 3652574	1.0 1.0	1.0 1.0	Sinapoyl-CoA:2-hydroxymalonate O-(hydroxycinnamoyl)transferase
