Id	Entry	Left	Right	LeftStoich	RightStoich
1670050	rxn02730	1494227 1496769 1492514	1492255 1492225 1493403	1.0 1.0 2.0	1.0 1.0 1.0
1670053	rxn01400	1493319	1503336 1503020	1.0	1.0 1.0
1670055	rxn02731	1496769	1493403	1.0	1.0
1670057	rxn01403	1493320 1492238 1492396	1502393 1492256 1492514 1492258	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1670067	rxn02734	1496800 1492225	1502841	1.0 1.0	1.0
1670069	rxn01404	1502393 1492225	1492396 1493320	1.0 1.0	1.0 1.0
1670075	rxn02735	1499745 1492246 1492514	1496807 1492250	1.0 1.0 1.0	1.0 1.0
1670077	rxn01401	1493320 1492255 1492225	1492329 1493893 1494800	1.0 1.0 1.0	1.0 1.0 1.0
1670079	rxn02732	1496984 1492255	1496772 1492225	1.0 1.0	1.0 1.0
1670082	rxn01402	1492225 1494003	1492342 1493320	1.0 1.0	1.0 1.0
1670086	rxn02733	1492238 1493286 1496791 1492225	1498886 1492514 1492256 1492258	1.0 1.0 1.0 1.0	1.0 3.0 1.0 1.0
1670091	rxn01407	1492240 1517654	1497473 1492514 1492243	1.0 1.0	1.0 1.0 1.0
1670094	rxn02738	1497672 1492240	1496822 1492243 1492514	1.0 1.0	1.0 1.0 1.0
1670097	rxn01408	1496975 1492225	1492271 1493323	1.0 1.0	1.0 1.0
1670100	rxn02739	1492250 1497672	1492246 1496822 1492514	1.0 1.0	1.0 1.0 1.0
1670103	rxn01405	1493320 1492765	1503558 1494800	1.0 1.0	1.0 1.0
1670110	rxn02736	1499507 1496807	1492273 1499892	1.0 1.0	1.0 1.0
1670113	rxn01406	1495140 1492765	1492910 1492514 1493320	1.0 1.0	1.0 1.0 1.0
1670119	rxn02737	1496809	1497187	1.0	1.0
1670122	rxn01409	1493323 1492853	1498005 1492263	1.0 1.0	1.0 1.0
1670125	rxn02720	1492276 1496276	1495622 1498401	1.0 1.0	1.0 1.0
1670134	rxn02723	1493546 1492995	1492263 1498906	1.0 1.0	1.0 1.0
1670137	rxn02724	1492240 1496756	1502790 1492514 1492243	1.0 1.0	1.0 1.0 1.0
1670139	rxn02721	1492263 1492514 1500454	1492225 1492321 1496276	1.0 1.0 1.0	1.0 1.0 1.0
1670146	rxn02722	1492250 1496743	1492246 1499140	1.0 1.0	1.0 1.0
1670149	rxn02727	1496760 1492225	1502801 1492309	1.0 1.0	1.0 1.0
1670151	rxn02728	1496762	1497274	1.0	1.0
1670154	rxn02725	1496756 1492250	1492246 1502790 1492514	1.0 1.0	1.0 1.0 1.0
1670156	rxn02726	1492514 1496756 1492246 1492255	1501098 1492250 1492225	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1670162	rxn02729	1493403 1492225 1492240	1492514 1492243 1496769	1.0 1.0 1.0	2.0 1.0 1.0
1670167	rxn13407	1519399	1519399	1.0	1.0
1670170	rxn13406	1519393	1519393	1.0	1.0
1670173	rxn13409	1525580	1525580	1.0	1.0
1670175	rxn01421	1493334 1492271 1492240	1492514 1496841 1492225 1492243	1.0 1.0 1.0	2.0 1.0 1.0 1.0
1670177	rxn02752	1492225 1497348 1492255	1492329 1496870 1494003	1.0 1.0 1.0	1.0 1.0 1.0
1670182	rxn01422	1492271 1493334 1492250	1492225 1496841 1492246 1492514	1.0 1.0 1.0	1.0 1.0 1.0 2.0
1670184	rxn02753	1497278 1492250	1492514 1496876 1492246	1.0 1.0	1.0 1.0 1.0
1670187	rxn02750	1496860 1492225	1502980	1.0 1.0	1.0
1670189	rxn01420	1492514 1502077	1493334 1492266	1.0 1.0	1.0 1.0
1670192	rxn02751	1496860 1492225	1502982	1.0 1.0	1.0
1670194	rxn01425	1492263 1510688 1492250	1492514 1492246 1493337	1.0 1.0 1.0	1.0 1.0 1.0
1670200	rxn02756	1497904	1496980	1.0	1.0
1670202	rxn01426	1492283 1493337	1492514 1492294 1493526	1.0 1.0	1.0 1.0 1.0
1670205	rxn02757	1496984	1502289	1.0	1.0
1670207	rxn01423	1492321 1494749	1492309 1493334	1.0 1.0	1.0 1.0
1670212	rxn02754	1492305 1496933	1492263 1502209 1492514	1.0 1.0	1.0 1.0 1.0
1670215	rxn01424	1492514 1493334 1493143	1503176 1492266	1.0 1.0 1.0	1.0 1.0
1670223	rxn02755	1496963 1492225	1500165 1496961	1.0 1.0	1.0 1.0
1670226	rxn01429	1493270 1493337	1492263 1494528	1.0 1.0	1.0 1.0
1670234	rxn01427	1492514 1492263 1495296 1492238	1492286 1492268 1493337	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1670241	rxn02758	1492514 1492246 1502200	1492250 1497008	1.0 1.0 1.0	1.0 1.0
1670244	rxn01428	1492765 1493337	1492263 1498033 1492514	1.0 1.0	1.0 1.0 1.0
1670247	rxn13401	1520280 1492225	1497548 1493148 1525385 1529527 1495918 1525533 1525461 1495850 1503672	0.01 1.0	0.06 0.27 0.01 0.09 0.02 0.24 0.17 0.05 0.1
1670251	rxn13400	1499129	1492225 1494427	1.0	1.0 1.0
1670253	rxn13403	1492225 1492225 1501460 1492238 1492238	1492258 1492256 1492258 1501460 1492514 1492256	1.0 1.0 1.0 1.0 1.0	1.0 1.0 1.0 1.0 1.0 1.0
1670257	rxn13402	1493129	1493129	1.0	1.0
