ModelEntry	Reaction	GPR
iMA945	R_GLUPRT	STM2362
iMA945	R_UAG2E	STM3920
iMA945	R_PUNP6	STM4570
iMA945	R_PUNP4	STM4570
iMA945	R_HYXNtex	( STM0320  or  STM0999  or  STM1473  or  STM2267 )
iMA945	R_PUNP5	STM4570
iMA945	R_ACACtex	( STM0320  or  STM0999  or  STM1473  or  STM2267 )
iMA945	R_ADOCBIK	STM2018
iMA945	R_GLUCYS	STM2818
iMA945	R_PLIPA2E141pp	STM3957
iMA945	R_PE141abcpp	STM0984
iMA945	R_DCYTtex	STM0413
iMA945	R_PAPA161pp	STM1710
iMA945	R_XANtpp	STM3747
iMA945	R_MLTGY2pp	( STM4582  or  STM2988  or  STM2831  or  STM3112 )
iMA945	R_3HAD60	( STM1067  or  STM0227 )
iMA945	R_PUNP2	STM4570
iMA945	R_PUNP3	STM4570
iMA945	R_PUNP1	STM4570
iMA945	R_QULNS	STM2265
iMA945	R_G3PEtex	( STM0320  or  STM0999  or  STM1473  or  STM2267 )
iMA945	R_MCITL2	STM0368
iMA945	R_GAL1Ptex	( STM0320  or  STM0999  or  STM1473  or  STM2267 )
iMA945	R_MDDEP4pp	( STM3300  or  STM2383  or  STM2168 )
iMA945	R_EDTXS4	STM1889
iMA945	R_LYXI	STM4046
iMA945	R_2MAHMP	( STM0457  or  STM1235 )
iMA945	R_RMNtpp	STM4050
iMA945	R_DSERt2pp	STM4398
iMA945	R_CPGNtonex	( STM1204  and  STM1737  and  STM3158  and  STM3159 )
iMA945	R_2AGPE120tipp	STM3009
iMA945	R_EDTXS2	STM1889
iMA945	R_ASR	STM1165
iMA945	R_NO3t7pp	( STM1765  or  STM1576 )
iMA945	R_PLIPA1G161pp	STM3957
iMA945	R_CYTDt2pp	( STM2409  or  STM3113 )
iMA945	R_PPBNGS	STM0372
iMA945	R_AGM3PApp	( STM4358  or  STM2450  or  STM2991 )
iMA945	R_ACALD	STM1749
iMA945	R_G6Ptex	( STM0320  or  STM0999  or  STM1473  or  STM2267 )
iMA945	R_DAAD	STM2265
iMA945	R_2AGPEAT180	STM3010
iMA945	R_2AGPEAT181	STM3010
iMA945	R_3HAD80	( STM1067  or  STM0227 )
iMA945	R_ADPT	STM0483
iMA945	R_PGPP120pp	( STM1710  or  STM0420 )
iMA945	R_GLYCLTt2rpp	STM3692
iMA945	R_CGLYabcpp	( STM3630  and  STM3629  and  STM3628  and  STM3627  and  STM3626 )
iMA945	R_MGSA	STM1076
iMA945	R_IPPS	STM0113
iMA945	R_ACGAL1Ptex	( STM0320  or  STM0999  or  STM1473  or  STM2267 )
iMA945	R_23CCMPtex	( STM0320  or  STM0999  or  STM1473  or  STM2267 )
iMA945	R_KARA1	STM3909
iMA945	R_ASPTA	STM0998
iMA945	R_CLt3_2pp	STM0203
iMA945	R_MANAO	STM3136
iMA945	R_PLIPA2A140pp	STM3957
iMA945	R_ECAP3pp	( STM3928  and  STM3919 )
iMA945	R_PAPSR	( STM2946  or  ( STM2946  and  STM3915 ) )
iMA945	R_IPDPS	STM0049
iMA945	R_GLYTRS	STM3656
iMA945	R_LPLIPAL2A161	STM3961
iMA945	R_14GLUCANabcpp	( STM4229  and  STM4228  and  STM4227  and  STM4230 )
iMA945	R_FRUtex	( STM0320  or  STM0999  or  STM1473  or  STM2267 )
iMA945	R_BTS4	STM0794
iMA945	R_URAt2rpp	STM2497
iMA945	R_GTPHs	s0001
iMA945	R_RMK	STM4047
iMA945	R_RMI	STM4046
iMA945	R_CRNCAR	STM0070
