ModelEntityId	EntityType	ClusterEntry	ClusterId
1810185	ModelReaction	MSPI_1311	430086
1797216	ModelReaction	MSPI_1311	430086
1807953	ModelReaction	MSPI_1312	430087
1811945	null	MSPI_1312	430087
1796851	ModelReaction	MSPI_1312	430087
1766367	ModelReaction	MSPI_1312	430087
1815133	ModelReaction	MSPI_1309	430084
1763600	ModelReaction	MSPI_1309	430084
1815132	ModelReaction	MSPI_1310	430085
1763598	ModelReaction	MSPI_1310	430085
1804406	ModelReaction	MSPI_1307	430082
1762806	ModelReaction	MSPI_1307	430082
1815890	ModelReaction	MSPI_1307	430082
1755002	ModelReaction	MSPI_1307	430082
1755296	ModelReaction	MSPI_1308	430083
1804576	ModelReaction	MSPI_1308	430083
1807535	ModelReaction	MSPI_1308	430083
1816419	ModelReaction	MSPI_1308	430083
1766815	ModelReaction	MSPI_1308	430083
1763464	ModelReaction	MSPI_1308	430083
1756166	ModelReaction	MSPI_1305	430080
1815665	MetaboliteSpecie	MSPI_1305	430080
1766704	ModelReaction	MSPI_1305	430080
1805454	ModelReaction	MSPI_1305	430080
1808256	ModelReaction	MSPI_1305	430080
1762592	ModelReaction	MSPI_1305	430080
1801495	MetaboliteSpecie	MSPI_1305	430080
1815130	ModelReaction	MSPI_1306	430081
1763594	ModelReaction	MSPI_1306	430081
1755789	ModelReaction	MSPI_1319	430094
1801893	MetaboliteSpecie	MSPI_1319	430094
1805076	ModelReaction	MSPI_1319	430094
1808065	ModelReaction	MSPI_1319	430094
1811686	null	MSPI_1320	430095
1816295	ModelReaction	MSPI_1320	430095
1797316	ModelReaction	MSPI_1320	430095
1802294	MetaboliteSpecie	MSPI_1320	430095
1755511	ModelReaction	MSPI_1320	430095
1807727	ModelReaction	MSPI_1320	430095
1766136	ModelReaction	MSPI_1320	430095
1809905	ModelReaction	MSPI_1320	430095
1763308	ModelReaction	MSPI_1320	430095
1804794	ModelReaction	MSPI_1320	430095
1802278	MetaboliteSpecie	MSPI_1317	430092
1797115	ModelReaction	MSPI_1317	430092
1808166	ModelReaction	MSPI_1317	430092
1763568	ModelReaction	MSPI_1317	430092
1815110	ModelReaction	MSPI_1317	430092
1766380	ModelReaction	MSPI_1317	430092
1755660	ModelReaction	MSPI_1317	430092
1809794	ModelReaction	MSPI_1317	430092
1804946	ModelReaction	MSPI_1317	430092
1811951	null	MSPI_1317	430092
1815129	ModelReaction	MSPI_1318	430093
1763590	ModelReaction	MSPI_1318	430093
1812475	null	MSPI_1315	430090
1797424	ModelReaction	MSPI_1315	430090
1801288	MetaboliteSpecie	MSPI_1315	430090
1810028	ModelReaction	MSPI_1315	430090
1808318	ModelReaction	MSPI_1315	430090
1814434	ModelReaction	MSPI_1315	430090
1805539	ModelReaction	MSPI_1315	430090
1766731	ModelReaction	MSPI_1315	430090
1762478	ModelReaction	MSPI_1315	430090
1756249	ModelReaction	MSPI_1315	430090
1807753	ModelReaction	MSPI_1316	430091
1815561	MetaboliteSpecie	MSPI_1316	430091
1804262	ModelReaction	MSPI_1316	430091
1755538	ModelReaction	MSPI_1316	430091
1756265	ModelReaction	MSPI_1313	430088
1765940	ModelReaction	MSPI_1313	430088
