ModelEntityId	EntityType	ClusterEntry	ClusterId
1757342	ModelReaction	mrxn_1615	434182
1756730	ModelReaction	mrxn_1615	434182
1764382	ModelReaction	mrxn_1615	434182
1768258	ModelReaction	mrxn_1615	434182
1803759	ModelReaction	mrxn_1615	434182
1764387	ModelReaction	mrxn_1615	434182
1808803	ModelReaction	mrxn_1615	434182
1803760	ModelReaction	mrxn_1615	434182
1806642	ModelReaction	mrxn_1615	434182
1813645	ModelReaction	mrxn_1615	434182
1768046	ModelReaction	mrxn_1615	434182
1813857	ModelReaction	mrxn_1615	434182
1806024	ModelReaction	mrxn_1615	434182
1809031	ModelReaction	mrxn_1615	434182
1817181	ModelReaction	mrxn_1615	434182
1817189	ModelReaction	mrxn_1615	434182
1803151	ModelReaction	mrxn_1616	434183
1809448	ModelReaction	mrxn_1616	434183
1765448	ModelReaction	mrxn_1616	434183
1817961	ModelReaction	mrxn_1616	434183
1817950	ModelReaction	mrxn_1616	434183
1767026	ModelReaction	mrxn_1616	434183
1767803	ModelReaction	mrxn_1616	434183
1818128	ModelReaction	mrxn_1616	434183
1807082	ModelReaction	mrxn_1616	434183
1812497	ModelReaction	mrxn_1616	434183
1813377	ModelReaction	mrxn_1616	434183
1803538	ModelReaction	mrxn_1616	434183
1803537	ModelReaction	mrxn_1616	434183
1757776	ModelReaction	mrxn_1616	434183
1817259	ModelReaction	mrxn_1617	434176
1817210	ModelReaction	mrxn_1617	434176
1817292	ModelReaction	mrxn_1617	434176
1817264	ModelReaction	mrxn_1617	434176
1817681	ModelReaction	mrxn_1618	434177
1765013	ModelReaction	mrxn_1618	434177
1807098	ModelReaction	mrxn_1619	434190
1818917	ModelReaction	mrxn_1619	434190
1798758	ModelReaction	mrxn_1619	434190
1757791	ModelReaction	mrxn_1619	434190
1809485	ModelReaction	mrxn_1619	434190
1764476	ModelReaction	mrxn_1619	434190
1813183	ModelReaction	mrxn_1619	434190
1767625	ModelReaction	mrxn_1619	434190
1803503	ModelReaction	mrxn_1619	434190
1765012	ModelReaction	mrxn_1620	434191
1817680	ModelReaction	mrxn_1620	434191
1808835	ModelReaction	mrxn_1621	434188
1757369	ModelReaction	mrxn_1621	434188
1764045	ModelReaction	mrxn_1621	434188
1757662	ModelReaction	mrxn_1621	434188
1806968	ModelReaction	mrxn_1621	434188
1806669	ModelReaction	mrxn_1621	434188
1764044	ModelReaction	mrxn_1621	434188
1803606	ModelReaction	mrxn_1621	434188
1818576	ModelReaction	mrxn_1621	434188
1818575	ModelReaction	mrxn_1621	434188
1803612	ModelReaction	mrxn_1621	434188
1809297	ModelReaction	mrxn_1621	434188
1806240	ModelReaction	mrxn_1622	434189
1756941	ModelReaction	mrxn_1622	434189
1809365	ModelReaction	mrxn_1622	434189
1768209	ModelReaction	mrxn_1623	434184
1767495	ModelReaction	mrxn_1623	434184
1813806	ModelReaction	mrxn_1623	434184
1813043	ModelReaction	mrxn_1623	434184
1765011	ModelReaction	mrxn_1624	434185
1817679	ModelReaction	mrxn_1624	434185
1764820	ModelReaction	mrxn_1625	434198
1768274	ModelReaction	mrxn_1625	434198
1819289	ModelReaction	mrxn_1625	434198
1756903	ModelReaction	mrxn_1625	434198
1802327	ModelReaction	mrxn_1625	434198
1806201	ModelReaction	mrxn_1625	434198
1817678	ModelReaction	mrxn_1626	434199
1765010	ModelReaction	mrxn_1626	434199
1817685	ModelReaction	mrxn_1627	434196
1765017	ModelReaction	mrxn_1627	434196
1802713	ModelReaction	mrxn_1628	434197
1757592	ModelReaction	mrxn_1628	434197
1819448	ModelReaction	mrxn_1628	434197
1765097	ModelReaction	mrxn_1628	434197
1802714	ModelReaction	mrxn_1628	434197
1802439	ModelReaction	mrxn_1628	434197
1806897	ModelReaction	mrxn_1628	434197
1765015	ModelReaction	mrxn_1629	434194
1817683	ModelReaction	mrxn_1629	434194
1819044	ModelReaction	mrxn_1630	434195
1764611	ModelReaction	mrxn_1630	434195
1756831	ModelReaction	mrxn_1630	434195
1809194	ModelReaction	mrxn_1630	434195
1806124	ModelReaction	mrxn_1630	434195
1802972	ModelReaction	mrxn_1630	434195
1757705	ModelReaction	mrxn_1631	434192
1807011	ModelReaction	mrxn_1631	434192
1803747	ModelReaction	mrxn_1631	434192
1803186	ModelReaction	mrxn_1632	434193
1808957	ModelReaction	mrxn_1632	434193
1763781	ModelReaction	mrxn_1632	434193
1757447	ModelReaction	mrxn_1632	434193
1806747	ModelReaction	mrxn_1632	434193
1805754	ModelReaction	mrxn_1633	434204
1756463	ModelReaction	mrxn_1633	434204
1765005	ModelReaction	mrxn_1634	434205
1817673	ModelReaction	mrxn_1634	434205
1812906	ModelReaction	mrxn_1635	434202
1813650	ModelReaction	mrxn_1635	434202
1798131	ModelReaction	mrxn_1635	434202
1768050	ModelReaction	mrxn_1635	434202
1810672	ModelReaction	mrxn_1635	434202
1767388	ModelReaction	mrxn_1635	434202
1810670	ModelReaction	mrxn_1635	434202
1809388	ModelReaction	mrxn_1636	434203
1806255	ModelReaction	mrxn_1636	434203
1756955	ModelReaction	mrxn_1636	434203
1765009	ModelReaction	mrxn_1637	434200
1817677	ModelReaction	mrxn_1637	434200
1811345	ModelReaction	mrxn_1638	434201
1811348	ModelReaction	mrxn_1638	434201
1811350	ModelReaction	mrxn_1638	434201
1756959	ModelReaction	mrxn_1639	434214
1806259	ModelReaction	mrxn_1639	434214
1765522	ModelReaction	mrxn_1639	434214
1819904	ModelReaction	mrxn_1639	434214
1803774	ModelReaction	mrxn_1639	434214
1817676	ModelReaction	mrxn_1640	434215
1765008	ModelReaction	mrxn_1640	434215
1804015	ModelReaction	mrxn_1641	434212
1803976	ModelReaction	mrxn_1641	434212
1803781	ModelReaction	mrxn_1641	434212
1803977	ModelReaction	mrxn_1641	434212
1765007	ModelReaction	mrxn_1642	434213
1817675	ModelReaction	mrxn_1642	434213
1817674	ModelReaction	mrxn_1643	434210
1765006	ModelReaction	mrxn_1643	434210
1806584	ModelReaction	mrxn_1644	434211
1757284	ModelReaction	mrxn_1644	434211
1808711	ModelReaction	mrxn_1644	434211
1764129	ModelReaction	mrxn_1645	434208
1817825	ModelReaction	mrxn_1645	434208
1817957	ModelReaction	mrxn_1645	434208
1808743	ModelReaction	mrxn_1645	434208
1798911	ModelReaction	mrxn_1645	434208
1767710	ModelReaction	mrxn_1645	434208
1765077	ModelReaction	mrxn_1645	434208
1756565	ModelReaction	mrxn_1645	434208
1813267	ModelReaction	mrxn_1645	434208
1811378	ModelReaction	mrxn_1645	434208
1817724	ModelReaction	mrxn_1645	434208
1819825	ModelReaction	mrxn_1645	434208
1805858	ModelReaction	mrxn_1645	434208
1803786	ModelReaction	mrxn_1645	434208
1806250	ModelReaction	mrxn_1646	434209
1809381	ModelReaction	mrxn_1646	434209
1756950	ModelReaction	mrxn_1646	434209
1764146	ModelReaction	mrxn_1647	434222
1812882	ModelReaction	mrxn_1647	434222
1764144	ModelReaction	mrxn_1647	434222
1764201	ModelReaction	mrxn_1647	434222
1767371	ModelReaction	mrxn_1647	434222
1764156	ModelReaction	mrxn_1647	434222
1764154	ModelReaction	mrxn_1647	434222
1798276	ModelReaction	mrxn_1647	434222
1802474	ModelReaction	mrxn_1648	434223
1797642	ModelReaction	mrxn_1648	434223
1813346	ModelReaction	mrxn_1648	434223
1756393	ModelReaction	mrxn_1648	434223
1805682	ModelReaction	mrxn_1648	434223
1767778	ModelReaction	mrxn_1648	434223
1808510	ModelReaction	mrxn_1648	434223
1765230	ModelReaction	mrxn_1648	434223
1819660	ModelReaction	mrxn_1648	434223
1819959	ModelReaction	mrxn_1649	434220
1757641	ModelReaction	mrxn_1649	434220
1812855	ModelReaction	mrxn_1649	434220
1803044	ModelReaction	mrxn_1649	434220
1809254	ModelReaction	mrxn_1649	434220
1798221	ModelReaction	mrxn_1649	434220
1767343	ModelReaction	mrxn_1649	434220
1806946	ModelReaction	mrxn_1649	434220
1765548	ModelReaction	mrxn_1649	434220
1768529	ModelReaction	mrxn_1650	434221
1814135	ModelReaction	mrxn_1650	434221
1810629	ModelReaction	mrxn_1651	434218
1798422	ModelReaction	mrxn_1651	434218
1767429	ModelReaction	mrxn_1651	434218
1767368	ModelReaction	mrxn_1651	434218
1812960	ModelReaction	mrxn_1651	434218
1809461	ModelReaction	mrxn_1652	434219
1806297	ModelReaction	mrxn_1652	434219
1756997	ModelReaction	mrxn_1652	434219
1756501	ModelReaction	mrxn_1653	434216
1805792	ModelReaction	mrxn_1653	434216
1814118	ModelReaction	mrxn_1654	434217
1803320	ModelReaction	mrxn_1654	434217
1818110	ModelReaction	mrxn_1654	434217
1806530	ModelReaction	mrxn_1654	434217
1798853	ModelReaction	mrxn_1654	434217
1808616	ModelReaction	mrxn_1654	434217
1757229	ModelReaction	mrxn_1654	434217
1765491	ModelReaction	mrxn_1654	434217
1768509	ModelReaction	mrxn_1654	434217
1810485	ModelReaction	mrxn_1654	434217
