Id	Entry	ScientificName	ParentId	Models
2804576	txid3700	Brassicaceae	2804577	
2804577	txid3699	Brassicales	2804578	
2804578	txid91836	malvids	2804579	
2804579	txid71275	rosids	2804580	
2804580	txid1437201	Pentapetalae	2804581	
2804581	txid91827	Gunneridae	2804582	
2804582	txid71240	eudicotyledons	2804564	
2804480	txid135622	Alteromonadales	2804460	
2804481	txid272943	Rhodobacter sphaeroides 2.4.1	2804482	2733633 3871313 2749107
2804482	txid1063	Rhodobacter sphaeroides	2804483	
2804483	txid1060	Rhodobacter	2804484	
2804484	txid31989	Rhodobacteraceae	2804485	
2804485	txid204455	Rhodobacterales	2804486	
2804486	txid28211	Alphaproteobacteria	2804461	
2804487	txid555217	Zymomonas mobilis subsp. mobilis ATCC 10988	2804488	2614455 3880698
2804488	txid120045	Zymomonas mobilis subsp. mobilis	2804489	
2804489	txid542	Zymomonas mobilis	2804490	
2804490	txid541	Zymomonas	2804491	
2804491	txid41297	Sphingomonadaceae	2804492	
2804492	txid204457	Sphingomonadales	2804486	
2804493	txid188937	Methanosarcina acetivorans C2A	2804494	2766716 2700887 4019250
2804494	txid2214	Methanosarcina acetivorans	2804495	
2804495	txid2207	Methanosarcina	2804496	
2804496	txid2206	Methanosarcinaceae	2804497	
2804497	txid94695	Methanosarcinales	2804498	
2804498	txid224756	Methanomicrobia	2804499	
2804499	txid28890	Euryarchaeota	2804500	
2804500	txid2157	Archaea	2804452	
2804501	txid511145	Escherichia coli str. K-12 substr. MG1655	2804502	4129527 3786161 1750499 1319406 1319402
2804502	txid83333	Escherichia coli K-12	2804503	
2804503	txid562	Escherichia coli	2804504	
2804504	txid561	Escherichia	2804458	
2804505	txid559292	Saccharomyces cerevisiae S288c	2804506	3784761 1809627 1492230 1814189 1762109 1800835 1765794 1796770 1319407 1804165 1492233
2804506	txid4932	Saccharomyces cerevisiae	2804507	
2804507	txid4930	Saccharomyces	2804508	
2804508	txid4893	Saccharomycetaceae	2804509	
2804509	txid4892	Saccharomycetales	2804510	
2804510	txid4891	Saccharomycetes	2804511	
2804511	txid147537	Saccharomycotina	2804512	
2804512	txid716545	saccharomyceta	2804513	
2804513	txid4890	Ascomycota	2804514	
2804514	txid451864	Dikarya	2804515	
2804515	txid4751	Fungi	2804516	
2804516	txid33154	Opisthokonta	2804517	
2804517	txid2759	Eukaryota	2804452	
2804518	txid9606	Homo sapiens	2804519	3785801
2804519	txid9605	Homo	2804520	
2804520	txid207598	Homininae	2804521	
2804521	txid9604	Hominidae	2804522	
2804522	txid314295	Hominoidea	2804523	
2804523	txid9526	Catarrhini	2804524	
2804524	txid314293	Simiiformes	2804525	
2804525	txid376913	Haplorrhini	2804526	
2804526	txid9443	Primates	2804527	
2804527	txid314146	Euarchontoglires	2804528	
2804528	txid1437010	Boreoeutheria	2804529	
2804529	txid9347	Eutheria	2804530	
2804530	txid32525	Theria	2804531	
2804531	txid40674	Mammalia	2804532	
2804532	txid32524	Amniota	2804533	
2804533	txid32523	Tetrapoda	2804534	
2804534	txid1338369	Dipnotetrapodomorpha	2804535	
2804535	txid8287	Sarcopterygii	2804536	
2804536	txid117571	Euteleostomi	2804537	
2804537	txid117570	Teleostomi	2804538	
2804538	txid7776	Gnathostomata	2804539	
2804539	txid7742	Vertebrata	2804540	
2804540	txid89593	Craniata	2804541	
2804541	txid7711	Chordata	2804542	
2804542	txid33511	Deuterostomia	2804543	
2804543	txid33213	Bilateria	2804544	
2804444	txid1485	Clostridium	2804445	
2804445	txid31979	Clostridiaceae	2804450	
2804446	txid272562	Clostridium acetobutylicum ATCC 824	2804447	3914175 2635661 2687182 2621523
2804447	txid1488	Clostridium acetobutylicum	2804444	
2804448	txid1239	Firmicutes	2804449	
2804449	txid1783272	Terrabacteria group	2804454	
2804450	txid186802	Clostridiales	2804451	
2804451	txid186801	Clostridia	2804448	
2804452	txid131567	cellular organisms	2804453	
2804453	txid1	root		
2804454	txid2	Bacteria	2804452	
2804455	txid67826	Citrobacter sedlakii	2804456	2784848
2804456	txid1344959	Citrobacter freundii complex	2804457	
2804457	txid544	Citrobacter	2804458	
2804458	txid543	Enterobacteriaceae	2804459	
2804459	txid91347	Enterobacterales	2804460	
2804460	txid1236	Gammaproteobacteria	2804461	
2804461	txid1224	Proteobacteria	2804454	
2804462	txid224308	Bacillus subtilis subsp. subtilis str. 168	2804463	3882745 2617150 1492237
2804463	txid135461	Bacillus subtilis subsp. subtilis	2804464	
2804464	txid1423	Bacillus subtilis	2804465	
2804465	txid653685	Bacillus subtilis group	2804466	
2804466	txid1386	Bacillus	2804467	
2804467	txid186817	Bacillaceae	2804468	
2804468	txid1385	Bacillales	2804469	
2804469	txid91061	Bacilli	2804448	
2804470	txid1051650	Lactobacillus casei 12A	2804471	3907856 2681827
2804471	txid1582	Lactobacillus casei	2804472	
2804472	txid655183	Lactobacillus casei group	2804473	
2804473	txid1578	Lactobacillus	2804474	
2804474	txid33958	Lactobacillaceae	2804475	
2804475	txid186826	Lactobacillales	2804469	
2804476	txid326442	Pseudoalteromonas haloplanktis TAC125	2804477	3834909 2702499
2804477	txid228	Pseudoalteromonas haloplanktis	2804478	
2804478	txid53246	Pseudoalteromonas	2804479	
2804479	txid267888	Pseudoalteromonadaceae	2804480	
2804544	txid6072	Eumetazoa	2804545	
2804545	txid33208	Metazoa	2804516	
2804546	txid309800	Haloferax volcanii DS2	2804547	4030859
2804547	txid2246	Haloferax volcanii	2804548	
2804548	txid2251	Haloferax	2804549	
2804549	txid1644056	Haloferacaceae	2804550	
2804550	txid1644055	Haloferacales	2804551	
2804551	txid183963	Halobacteria	2804499	
2804552	txid4577	Zea mays	2804553	3785982
2804553	txid4575	Zea	2804554	
2804554	txid1648029	Tripsacinae	2804555	
2804555	txid147429	Andropogoneae	2804556	
2804556	txid1648033	Andropogonodae	2804557	
2804557	txid147369	Panicoideae	2804558	
2804558	txid147370	PACMAD clade	2804559	
2804559	txid4479	Poaceae	2804560	
2804560	txid38820	Poales	2804561	
2804561	txid4734	commelinids	2804562	
2804562	txid1437197	Petrosaviidae	2804563	
2804563	txid4447	Liliopsida	2804564	
2804564	txid1437183	Mesangiospermae	2804565	
2804565	txid3398	Magnoliophyta	2804566	
2804566	txid58024	Spermatophyta	2804567	
2804567	txid78536	Euphyllophyta	2804568	
2804568	txid58023	Tracheophyta	2804569	
2804569	txid3193	Embryophyta	2804570	
2804570	txid131221	Streptophytina	2804571	
2804571	txid35493	Streptophyta	2804572	
2804572	txid33090	Viridiplantae	2804517	
2804573	txid3702	Arabidopsis thaliana	2804574	3785933
2804574	txid3701	Arabidopsis	2804575	
2804575	txid980083	Camelineae	2804576	
2843983	txid1653831	Blattabacterium cuenoti	2843984	
2843984	txid34098	Blattabacterium	2843985	
2843985	txid39782	Blattabacteriaceae	2843986	
2843986	txid200644	Flavobacteriales	2843987	
2843987	txid117743	Flavobacteriia	2843988	
2843988	txid976	Bacteroidetes	2843989	
2843989	txid68336	Bacteroidetes/Chlorobi group	2843990	
2843990	txid1783270	FCB group	2804454	
2843991	txid331104	Blattabacterium sp. (Blattella germanica) str. Bge	2843992	2731545 4014488 2653421
2843992	txid624186	Blattabacterium sp. (Blattella germanica)	2843984	
2843993	txid600809	Blattabacterium sp. (Periplaneta americana) str. BPLAN	2843994	4015120 2660613
2843994	txid367488	Blattabacterium sp. (Periplaneta americana)	2843984	
2843995	txid376619	Francisella tularensis subsp. holarctica LVS	2843996	3835537 2744326
2843996	txid119857	Francisella tularensis subsp. holarctica	2843997	3837562 3837563 3837564
2843997	txid263	Francisella tularensis	2843998	
2843998	txid262	Francisella	2843999	
2843999	txid34064	Francisellaceae	2844000	
2844000	txid72273	Thiotrichales	2804460	
2844001	txid208964	Pseudomonas aeruginosa PAO1	2844002	3817304 1492234
2844002	txid287	Pseudomonas aeruginosa	2844003	3817366
2844003	txid136841	Pseudomonas aeruginosa group	2844004	
2844004	txid286	Pseudomonas	2844005	
2844005	txid135621	Pseudomonadaceae	2844006	
2844006	txid72274	Pseudomonadales	2804460	
2844007	txid1006007	Bacillus megaterium WSH-002	2844008	2725963 3887260
2844008	txid1404	Bacillus megaterium	2804466	
2844009	txid395961	Cyanothece sp. PCC 7425	2844010	2655256 3984227
2844010	txid43988	Cyanothece	2844011	
2844011	txid1892249	Cyanothecaceae	2844012	
2844012	txid1150	Oscillatoriales	2844013	
2844013	txid1301283	Oscillatoriophycideae	2844014	
2844014	txid1117	Cyanobacteria	2844015	
2844015	txid1798711	Cyanobacteria/Melainabacteria group	2804449	
2844016	txid497965	Cyanothece sp. PCC 7822	2844010	3994446 2633875
2844017	txid65393	Cyanothece sp. PCC 7424	2844010	3978282 2651425
2844018	txid99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	2844019	3800457 2746536 4120764 2695338
2844019	txid90371	Salmonella enterica subsp. enterica serovar Typhimurium	2844020	3805212
2844020	txid59201	Salmonella enterica subsp. enterica	2844021	
2844021	txid28901	Salmonella enterica	2844022	
