MetaboliteId	ClusterId
1543319	248656
1541014	248669
1323671	248656
1320478	248661
1179034	248664
1072795	248673
1322138	248659
1595415	248660
1611144	248664
849822	248658
1320710	248662
1185159	248670
1184647	248672
1095174	248675
1320579	248664
879892	248663
850326	248659
922260	248658
1302031	248674
1320968	248674
1086606	248664
1543606	248658
1570608	248666
1323455	248675
1611946	248662
1323814	248667
867391	248665
1322144	248665
1569568	248670
1613217	248668
1322152	248676
1610535	248661
1041870	248676
1610842	248672
1202513	248674
1323857	248666
58310	248662
1551441	248674
370761	248657
259799	248656
1563457	248673
1572800	248665
1322435	248663
1321676	248669
1199435	248667
1321679	248668
594261	248660
370779	248666
1278194	248667
621160	248668
1323383	248673
1586812	248657
958055	248660
1583219	248676
266984	248666
1544315	248659
1323384	248672
1184639	248671
621156	248669
1047393	248662
1323386	248671
1323387	248670
1042175	248675
503927	248676
1285218	248661
1321958	248658
1184609	248673
1324007	248657
1321696	248660
1586414	248675
503921	248659
1610854	248671
1086446	248661
1542760	248667
